case,episode,decision,agent,sim_time,latent_heading,latent_speed,latent_heading_unclipped,requested_turn_degrees,applied_turn_degrees,heading_before,reference_heading_before,heading_after,actual_turn_degrees,drift_after_degrees,static_override,mapped_turn_saturated
zero,0,7,KL005,40.0,-0.0,-0.0,-0.0,1.8301320778846275e-05,1.8301320778846275e-05,135.8628454492328,135.86285400390625,135.86286375055357,1.8301320778846275e-05,-1.8170791008742526e-05,0,0
zero,0,7,KL006,40.0,0.0,-0.0,0.0,0.0031735018274048343,0.0031735018274048343,290.8911519499501,-69.10568237304688,290.8943254517775,0.0031735018274048343,-0.0032420698553323746,0,0
zero,0,7,KL007,40.0,-0.0,-0.0,-0.0,-1.5300929163686305e-05,-1.5300929163686305e-05,202.03357763022984,-157.9664306640625,202.0335623293007,-1.5300929135264596e-05,1.5147097656154074e-05,0,0
zero,0,7,KL008,40.0,-0.0,0.0,-0.0,0.0011663961777230725,0.0011663961777230725,291.2920688434286,-68.70675659179688,291.2932352396063,0.0011663961777230725,-0.0011854000622406602,0,0
zero,0,7,KL009,40.0,0.0,-0.0,0.0,1.0185262553363827e-05,1.0185262553363827e-05,169.13217137073565,169.1322021484375,169.13218155599822,1.0185262567574682e-05,-1.0093498531205114e-05,0,0
zero,0,7,KL0010,40.0,-0.0,-0.0,-0.0,1.9714554468919232e-05,1.9714554468919232e-05,338.0696406259301,-21.9302978515625,338.0696603404846,1.9714554468919232e-05,-1.9604014596552588e-05,0,0
zero,0,8,KL001,45.0,-0.0,-0.0,-0.0,0.0008338436782651115,0.0008338436782651115,16.754565649346603,16.755401611328125,16.755399493024868,0.0008338436782651115,-0.000823382695671171,0,0
zero,0,8,KL002,45.0,-0.0,-0.0,-0.0,1.3979822739429437e-05,1.3979822739429437e-05,165.81450493097213,165.81451416015625,165.81451891079485,1.3979822711007728e-05,-1.3867810594092589e-05,0,0
zero,0,8,KL003,45.0,-0.0,0.0,-0.0,4.565270282328129,4.565270282328129,83.77943598727019,88.34469604492188,88.3447062695983,4.565270282328129,-0.02151859924197197,0,0
zero,0,8,KL004,45.0,-0.0,0.0,-0.0,-0.0019328629423398525,-0.0019328629423398525,28.681126837356544,28.67919921875,28.679193974414204,-0.0019328629423398525,0.0020205939654260874,0,0
zero,0,8,KL005,45.0,0.0,0.0,0.0,1.8170790951899107e-05,1.8170790951899107e-05,135.86286375055357,135.86288452148438,135.86288192134452,1.8170790951899107e-05,-1.8040187569567934e-05,0,0
zero,0,8,KL006,45.0,-0.0,0.0,-0.0,0.0032420697243651375,0.0032420697243651375,290.8943254517775,-69.10244750976562,290.89756752150186,0.0032420697243651375,-0.0033129025250673294,0,0
zero,0,8,KL007,45.0,0.0,-0.0,0.0,-1.5147098935130998e-05,-1.5147098935130998e-05,202.0335623293007,-157.9664306640625,202.0335471822018,-1.5147098906709289e-05,1.4993084732850548e-05,0,0
zero,0,8,KL008,45.0,0.0,0.0,0.0,0.0011854000968014589,0.0011854000968014589,291.2932352396063,-68.70556640625,291.2944206397031,0.0011854000968014589,-0.0012047295458614826,0,0
zero,0,8,KL009,45.0,-0.0,0.0,-0.0,1.009349851699426e-05,1.009349851699426e-05,169.13218155599822,169.1322021484375,169.13219164949675,1.0093498531205114e-05,-1.0001665032177698e-05,0,0
zero,0,8,KL0010,45.0,0.0,-0.0,0.0,1.9604013772323015e-05,1.9604013772323015e-05,338.0696603404846,-21.9302978515625,338.0696799444984,1.9604013800744724e-05,-1.949365650943946e-05,0,0
zero,0,9,KL001,50.0,0.0,0.0,0.0,0.0008233826702053193,0.0008233826702053193,16.755399493024868,16.7562255859375,16.756222875695073,0.0008233826702053193,-0.0008127603796310723,0,0
zero,0,9,KL002,50.0,-0.0,0.0,-0.0,1.3867811219370196e-05,1.3867811219370196e-05,165.81451891079485,165.81451416015625,165.81453277860606,1.3867811219370196e-05,-1.3755740837950725e-05,0,0
zero,0,9,KL003,50.0,0.0,-0.0,0.0,0.021518600697163492,0.021518600697163492,88.3447062695983,88.3662109375,88.36622487029547,0.021518600697163492,-0.0009742612601257861,0,0
zero,0,9,KL004,50.0,-0.0,-0.0,-0.0,-0.0020205941291351337,-0.0020205941291351337,28.679193974414204,28.677169799804688,28.67717338028507,-0.0020205941291351337,0.0021113455295562744,0,0
zero,0,9,KL005,50.0,-0.0,0.0,-0.0,1.804018822326725e-05,1.804018822326725e-05,135.86288192134452,135.8629150390625,135.86289996153278,1.804018825168896e-05,-1.79095113708172e-05,0,0
zero,0,9,KL006,50.0,-0.0,-0.0,-0.0,0.003312902699690312,0.003312902699690312,290.89756752150186,-69.09912109375,290.90088042420155,0.003312902699690312,-0.0033861128613352776,0,0
zero,0,9,KL007,50.0,-0.0,-0.0,-0.0,-1.4993084533898582e-05,-1.4993084533898582e-05,202.0335471822018,-157.96646118164062,202.0335321891173,-1.4993084505476872e-05,1.4838884453638457e-05,0,0
zero,0,9,KL008,50.0,0.0,0.0,0.0,0.001204729633172974,0.001204729633172974,291.2944206397031,-68.70437622070312,291.2956253693363,0.001204729633172974,-0.0012243931414559484,0,0
zero,0,9,KL009,50.0,0.0,0.0,0.0,1.0001664776382313e-05,1.0001664776382313e-05,169.13219164949675,169.1322021484375,169.1322016511615,1.0001664747960604e-05,-9.909756954584736e-06,0,0
zero,0,9,KL0010,50.0,0.0,0.0,0.0,1.9493655969426982e-05,1.9493655969426982e-05,338.0696799444984,-21.9302978515625,338.0696994381543,1.9493655941005272e-05,-1.938349123520311e-05,0,0
