time,distance_nm,heading_difference_deg,speed_a_mps,speed_b_mps,action_a,action_b,filter_a,filter_b,goal_distance_a_km,goal_distance_b_km
400.0,10.367216521599886,65.35288122457663,164.85128329654518,165.35219700034784,0.13981688022613525,-0.9683032631874084,False,True,95.33906274636769,79.56364835650342
410.0,9.69162411431226,59.06112161440052,165.5846750214427,165.5846750214427,-0.29187726974487305,-0.9625317454338074,False,True,94.43188516415861,80.19362179887824
420.0,8.940842901864198,72.1955987529198,165.5846750214427,165.5846750214427,0.6506420373916626,-0.949219822883606,False,True,93.37439721147918,80.85311529069857
430.0,8.298520351460072,56.37234780316294,165.5846750214427,165.5846750214427,-0.4910687804222107,-0.9383980631828308,False,True,92.42512811155265,81.54141255688243
440.0,7.694020477468485,72.19559875291975,165.5846750214427,165.5846750214427,0.4447329044342041,-0.904936671257019,False,True,91.45847351800501,82.25779053021577
450.0,7.188798359578908,56.37234780316288,165.5846750214427,165.5846750214427,-0.8554019927978516,-0.8802003264427185,False,True,90.54965754291939,83.0015221104219
460.0,6.756212492501933,72.1955987529198,165.5846750214427,165.5846750214427,-0.49056243896484375,-0.8837042450904846,False,False,89.62393218593392,83.77187874215451
470.0,6.208400560412639,72.19559875291958,165.5846750214427,165.5846750214427,-0.3968777060508728,-0.8641306161880493,False,False,88.37533891310906,84.33841727644965
480.0,5.5424024642639065,72.19559875291958,165.5846750214427,165.5846750214427,0.14145195484161377,-0.8563385605812073,False,False,86.88680417980693,84.49241042174584
490.0,4.978075476822778,50.00700983529012,164.3031113824406,165.5846750214427,-0.4933662414550781,-0.8038976788520813,False,False,85.39015012873553,84.22438220203749
500.0,4.4397845944825,50.01087233700051,165.5846750214427,165.5846750214427,0.2138674259185791,-0.26603007316589355,False,False,83.81184178613377,83.55064788897441
510.0,4.045112206810204,28.415484878199265,162.3932270875625,164.6456693488646,0.5899238586425781,-0.6944543719291687,False,True,82.2599468966174,82.5324833950389
520.0,3.9175070514230836,2.897864229268066,160.50321945690783,163.81275915667862,-0.6887488961219788,-0.05768179893493652,True,False,80.86278034956791,81.27956342842856
530.0,3.8794231525375587,10.6224515824901,162.75310422691177,161.40619556787559,0.7882883548736572,-0.7767687439918518,False,True,79.43502498708655,79.90553092543894
540.0,3.806695210252442,0.7390644574475971,159.79274945264777,161.54064241085325,-0.6236985325813293,-0.3837937116622925,True,True,78.06026624587284,78.61217580822992
550.0,3.7262268014357325,15.472452146027592,161.7299449210896,159.2962577456273,0.7566990852355957,-0.8076453804969788,False,True,76.65934967456808,77.35607783355746
560.0,3.6560717152262896,0.9946132636828509,158.77427608333394,159.83591261417305,-0.6455363631248474,-0.5832548141479492,True,True,75.3135982830698,76.10983737969225
570.0,3.5880530592012714,14.005386736317178,160.7801382884833,157.31315146227976,0.5859010219573975,-0.6162370443344116,False,True,73.94289630331038,74.89459256409914
580.0,3.548267228799482,2.518746058311848,158.35304055720962,156.4976239825805,-0.8088523149490356,-0.23459601402282715,True,True,72.64438394417988,73.70088068911393
590.0,3.5021019266511475,12.481253941688124,159.86147043083756,156.19797782893008,0.3066823482513428,-0.7157265543937683,False,True,71.3238668427571,72.52353522949365
600.0,3.4395415549264876,3.680548270377699,157.8070032462052,156.33931570498297,-0.3918929696083069,-0.7509423494338989,True,True,70.07195504115319,71.44636711412642
610.0,3.3471568426276694,13.680548270377699,157.44460595645188,157.87262392303398,-0.5592167377471924,-0.7652161121368408,True,True,68.79526449343405,70.3875564485753
620.0,3.240570816262036,13.680548270377699,157.80173226613795,157.94578627023924,-0.5935168266296387,-0.8877605199813843,True,True,67.48626418519186,69.34767774429673
630.0,3.172020335841799,8.680548270377699,158.42872539638617,159.9499373773728,-0.7784645557403564,-0.8896205425262451,True,True,66.25944958389228,68.31647579023085
640.0,3.108270006148202,8.680548270377699,159.34729075163705,161.41553802602493,-0.8005371689796448,-0.8943300843238831,True,True,65.05008916966433,67.29791940707908
650.0,3.0391615436085346,8.680548270377699,160.2237303755213,164.4120743138791,-0.5212835073471069,-0.9117149710655212,True,True,63.85105548323124,66.28662394057004
660.0,2.991650229242986,3.680548270377699,160.26292760781732,165.5846750214427,-0.8745144605636597,-0.85334712266922,True,True,62.758992896274506,65.29202903359788
670.0,2.962086185738932,3.680548270377699,163.53253908615505,165.5846750214427,-0.8630902171134949,-0.9794480800628662,True,True,61.68144402037783,64.3245365555894
680.0,2.945416593198879,3.680548270377699,165.5846750214427,165.5846750214427,-0.875149130821228,-0.9411998391151428,True,True,60.613722641228094,63.38557563982286
690.0,2.9305136109658947,3.680548270377699,165.5846750214427,165.5846750214427,-0.3088611364364624,-0.15870577096939087,True,True,59.571918753095844,62.47643270571734
700.0,2.9158456319144177,3.680548270377699,165.43024402163223,165.5846750214427,0.7649435997009277,-0.22425663471221924,False,True,58.559347620207156,61.59842803536812
710.0,2.9168126158121317,12.322462049108339,163.6248728546479,165.5846750214427,-0.7708938121795654,0.5478975772857666,True,False,57.80329045994227,60.75291168006933
720.0,2.907450356266971,19.336265923218377,165.5846750214427,165.5846750214427,0.46599888801574707,-0.8221817016601562,False,True,57.03750153252685,60.1721308036054
730.0,2.9047261969237947,12.31023597629536,165.5846750214427,165.5846750214427,-0.5339987277984619,0.8379957675933838,False,False,56.35070713325524,59.58847352311697
740.0,2.908373073349495,19.503915421779112,165.5846750214427,163.74067056567574,0.03621780872344971,-0.4510316848754883,False,False,55.66253239915749,59.09604885855628
750.0,2.8982624584456596,2.040829876026379,165.5846750214427,165.5846750214427,0.43519067764282227,-0.23982596397399902,False,True,54.86955537872595,58.598970057833974
760.0,2.92795492624997,23.832722357274577,165.05995808560152,165.5846750214427,-0.8668110966682434,0.3161802291870117,False,False,54.352856861618115,57.75948733975311
770.0,2.943993855423038,6.4379922739418305,163.2139006470408,163.23782116419935,0.40546464920043945,-0.5403012633323669,False,False,53.840859050969726,57.11909139281961
780.0,2.9798755209752725,25.93943638951086,161.3811501108665,162.2008825943052,-0.9374005794525146,-0.8879474401473999,False,True,53.42450173916979,56.43827748856057
790.0,3.1052341305003646,14.575727932947586,160.07635257231257,161.30151558639434,-0.9278293251991272,-0.9410566091537476,False,True,53.011097846820704,55.50782989245623
800.0,3.147687677535607,2.009119370366534,157.80581082705766,158.58666417671424,-0.5822992324829102,-0.9926641583442688,False,True,52.22593379019665,54.61015311490454
810.0,3.120673787643437,2.1336987104205036,155.8319927880645,157.0458742233859,-0.6869039535522461,-0.9930253624916077,False,True,51.12180307942131,53.5568158954344
820.0,3.0849451618960173,4.240016016329662,152.86113428434948,154.66198293704477,-0.7466536164283752,-0.9949849247932434,True,True,49.78431540905131,52.250345473273526
830.0,2.83363653151301,24.240016016329662,149.85532998742713,152.92656771463768,-0.8890560865402222,-0.9923303723335266,True,True,48.32246113356689,50.948035278999896
840.0,2.5583804346537162,19.240016016329662,147.63834591260664,151.48386755354895,-0.8323007225990295,-0.992428719997406,True,True,46.855526194800376,49.616127624847856
850.0,2.2948125357208164,19.240016016329662,146.0556474011664,150.6452534820773,-0.8365921974182129,-0.9860939383506775,True,True,45.425229969535806,48.358472146308245
