time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate
19,512000,262,173.06,1,-0.7842742960912317,0.015814435,0.017217301931232214,2.821002388000488,0.8651995062828064,0.0590735524892807,0.2,0.17211796082556247,959,-0.010077031214896124,0.004320234525948763,0.0003
22,517120,231,175.86,1,-0.8756637399990508,0.013791815,0.024465770251117645,2.8195922315120696,0.7162988185882568,0.05913437902927399,0.2,0.15891600996255875,969,-0.011088953173020855,0.0185072161257267,0.0003
19,522240,261,175.38,1,-0.8955493166874865,0.017020198,0.025378346815705298,2.813807076215744,0.8424429893493652,0.05941703915596008,0.2,0.1484108865261078,979,-0.011060340277617797,0.014690409414470196,0.0003
15,527360,338,172.59,1,-0.8419896606691332,0.0153745655,0.03245197362266481,2.8082993030548096,0.7602713704109192,0.05941339582204819,0.2,0.15153553253039717,989,-0.011271309619769455,0.016928065568208694,0.0003
18,532480,272,174.36,1,-0.9691031057588855,0.014322357,0.020086826686747373,2.806395614147186,0.8484423160552979,0.0596468523144722,0.2,0.15096775013953448,999,-0.011089278536383062,0.015205532312393188,0.0003
16,537600,304,174.12,1,-1.0318618960302026,0.015046323,0.02087400320917368,2.7930909490585325,0.8625586628913879,0.06007825583219528,0.2,0.17402795240283012,1009,-0.01430942571721971,0.008401121944189072,0.0003
24,542720,210,173.36,1,-1.0673663911032423,0.015164904,0.017008124245330693,2.7865009903907776,0.9308924078941345,0.0600426122546196,0.2,0.1422001987695694,1019,-0.01409135929425247,0.008532725274562836,0.0003
24,547840,208,175.37,1,-1.104947402387413,0.01159225,0.041934664361178875,2.7893135130405424,0.8323050737380981,0.05997416377067566,0.2,0.16208161637187005,1029,-0.007546930335229263,0.030499164015054703,0.0003
24,552960,208,181.08,1,-1.2805945779813268,0.01125215,0.031203946471214293,2.789742422103882,0.9001989364624023,0.059974305331707,0.2,0.14332137256860733,1039,-0.010905639769043773,0.01631265878677368,0.0003
28,558080,181,183.25,1,-1.1488851815742207,0.011832929,0.013904257724061609,2.791628247499466,0.9171544313430786,0.05992116779088974,0.2,0.14417929146438838,1049,-0.013267323526088148,0.008642435073852539,0.0003
