time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/n_updates,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/std,train/loss,train/value_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
1,220.94,122880,10,-1.107085215341887,234,429,0.02576716,0.2,3.0927915632724763,0.0003,0.05153513699769974,0.011277854442596436,0.05168097312562168,0.7891892790794373,0.2258711975067854,-0.012341053168347571
1,226.76,125440,6,-1.1193741852148313,411,439,0.020491973,0.2,3.094340968132019,0.0003,0.051496826112270355,-0.001689213328063488,0.015887045464478434,0.8631770014762878,0.22890796335414051,-0.01797593052033335
1,228.66,128000,15,-1.1154201247831665,168,447,0.03426234,0.2,3.0972490310668945,0.0003,0.05134627968072891,0.007477434352040291,0.006588289194041863,0.8843623399734497,0.2102655339986086,-0.01009913491240392
1,234.63,130560,8,-1.3845222218404294,315,457,0.0211056,0.2,3.0985768127441404,0.0003,0.05152535438537598,0.046750396490097046,0.04156080342829228,0.7328633069992065,0.21103086456656456,-0.012142103652731748
1,249.61,133120,9,-1.5722898891563335,260,467,0.021790585,0.2,3.0933484613895414,0.0003,0.051511965692043304,0.040868114680051804,0.022263382328674197,0.7547903060913086,0.22032006485387684,-0.00415578836837085
1,251.09,135680,6,-1.6110874964275828,375,477,0.016971454,0.2,3.0918723702430726,0.0003,0.05166679620742798,0.010423894040286541,0.020471010333858432,0.897426962852478,0.20576121509075165,-0.013760362088214606
1,253.84,138240,8,-1.618878156638569,301,487,0.024212066,0.2,3.087556803226471,0.0003,0.05168149620294571,-0.005209226626902819,0.015311317658051849,0.33854997158050537,0.1823839146643877,-0.02147143551846966
1,256.94,140800,5,-1.6508628753358001,443,497,0.019689763,0.2,3.090247058868408,0.0003,0.051564380526542664,0.016260338947176933,0.0281033913915356,0.8557809591293335,0.197228558609883,-0.011817369571266076
1,259.28,143360,8,-1.6992839254409946,286,500,0.045993183,0.2,3.092578513281686,0.0003,0.051548488438129425,0.04776374250650406,0.02793653216212988,0.6835398077964783,0.14890253118106297,-0.013833674602210522
1,265.27,145920,5,-1.8729945027957122,436,510,0.025354074,0.2,3.0948863983154298,0.0003,0.05146390572190285,0.028340362012386322,0.0849463731981814,0.8612258434295654,0.21150604914873838,-0.010808406316209584
1,267.41,148480,5,-1.945075166684577,434,515,0.036108006,0.2,3.0955594857533772,0.0003,0.05151514708995819,0.025799991562962532,0.0487420675655206,0.7634915113449097,0.17543870359659194,-0.00673640956908154
1,271.4,151040,10,-1.8734461134476754,255,525,0.023468077,0.2,3.0938238978385924,0.0003,0.05153139308094978,0.004703668411821127,0.015519998176023364,0.5998917818069458,0.21564019545912744,-0.02049717204645276
1,275.57,153600,4,-1.7717015515820023,612,535,0.019581024,0.2,3.0929623067379,0.0003,0.05162475258111954,0.005945106968283653,0.01593802575953305,0.8568139672279358,0.23606138527393342,-0.013583990996266948
1,274.17,156160,9,-1.7047434404964679,279,541,0.049592678,0.2,3.08970046043396,0.0003,0.05166376009583473,0.03759465366601944,0.0037620859855616636,0.8702059388160706,0.24258814277974042,0.0044913136146285315
1,272.84,158720,10,-1.7255039211585228,239,549,0.036883555,0.2,3.085624837875366,0.0003,0.051842138171195984,0.03709706291556358,0.042153008344272776,0.8254678249359131,0.19075140630205473,-0.013130152239076173
