time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/loss,train/learning_rate
1,291,17,112640,172.83,-0.900316426600483,0.8515998125076294,-0.008534348194953054,0.0126715135,3.109241681098938,201,0.017571719251573085,0.14822206288576126,0.051098696887493134,0.2,0.019366655498743057,0.0003
1,306,16,117760,170.22,-0.9284950218451071,0.7928255796432495,-0.013727521826513111,0.01268722,3.1082379639148714,211,0.026383100543171167,0.13420552033931016,0.05124752223491669,0.2,0.01785241812467575,0.0003
1,262,19,122880,172.07,-0.920565140249417,0.7764440774917603,0.005540100379019148,0.043044817,3.1029981639650135,215,0.03386223160972198,0.18061631959345606,0.05132772773504257,0.2,0.06896093487739563,0.0003
1,277,18,128000,169.66,-0.813657977426902,0.8671423196792603,-0.012815905366442166,0.013858539,3.096345205307007,225,0.017820398770272732,0.13882331803441048,0.051528528332710266,0.2,0.00046452414244413376,0.0003
1,401,12,133120,169.65,-0.814071909322778,0.84425950050354,-0.012567873122170567,0.018451283,3.0915839195251467,235,0.01783351821824908,0.16405324816703795,0.05162421613931656,0.2,0.012230617925524712,0.0003
1,387,13,138240,170.56,-0.553234559663398,0.8873636722564697,-0.009990961238509044,0.014120042,3.088780951499939,245,0.012376849194988609,0.15813929125666618,0.05169570818543434,0.2,0.02754288539290428,0.0003
1,372,13,143360,167.53,-0.525616986759805,0.8883923292160034,-0.01370792897243973,0.013122408,3.0921108722686768,255,0.01273641367442906,0.15748189156875014,0.0513785220682621,0.2,0.01630685105919838,0.0003
1,320,15,148480,169.51,-0.4075731724879833,0.8416932225227356,-0.012454187928233296,0.013176901,3.097952675819397,265,0.02064185163471848,0.15969490818679333,0.05152163654565811,0.2,0.016205132007598877,0.0003
1,266,19,153600,171.6,-0.4308889764379568,0.9057993292808533,-0.011067663255525986,0.020306151,3.0862285327911376,275,0.01239842688664794,0.1536736264079809,0.051928870379924774,0.2,0.022288979962468147,0.0003
1,286,17,158720,173.19,-0.7020186527548836,0.8246010541915894,-0.01222511920146644,0.012972534,3.0672642612457275,285,0.018510346915572882,0.17846111923456193,0.05246950685977936,0.2,0.018570316955447197,0.0003
1,236,21,163840,175.86,-0.8498748744652467,0.857633650302887,-0.014566788356751204,0.012776589,3.051589012145996,295,0.022801256692036986,0.1403735530562699,0.052734553813934326,0.2,0.018626227974891663,0.0003
1,305,16,168960,175.64,-0.7769492724188214,0.8630363941192627,-0.013540072996111121,0.014805664,3.047380723953247,305,0.014173369314521551,0.166229028403759,0.05270921066403389,0.2,0.007969992235302925,0.0003
1,387,13,174080,171.81,-0.8739944860145177,0.8812136650085449,-0.006676839818147586,0.039304465,3.047831210684269,315,0.015500898334257145,0.21291729823706,0.05274318903684616,0.2,0.04046571999788284,0.0003
1,347,14,179200,169.85,-0.9560394098177497,0.8420490026473999,-0.011743663263041526,0.011602406,3.0442859649658205,325,0.023839667509309947,0.15552848614752293,0.05292365327477455,0.2,0.006137044634670019,0.0003
1,354,14,184320,169.56,-0.8867936689154549,0.7292184829711914,-0.014179694134509192,0.015318847,3.0348853945732115,335,0.035689641768112776,0.16570377424359323,0.053220488131046295,0.2,0.021732784807682037,0.0003
