rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
67,276438,66602,343040,161,1611,2910,649,1148.3352114000008,240.72935955954767,-0.8942808267516833,-89.42808267516831,1.0,-0.009824204473989084,0.02659994470886886,0.01716579496860504,0.17016825173050165
68,280701,67459,348160,163,1639,2960,659,1162.818488699966,241.3970905414691,-0.9404076226069229,-94.0407622606923,1.0,-0.010617357911542058,0.019360298197716473,0.016895581036806107,0.1679710891097784
69,284791,68489,353280,166,1662,3000,669,1177.566473999992,241.8470687541007,-0.859196194887108,-85.91961948871078,1.0,-0.009336112458549905,0.017246501334011555,0.012647060677409172,0.15107455402612685
70,288691,69709,358400,168,1687,3040,679,1192.9590089999838,241.99574153180643,-0.8272135527176154,-82.72135527176155,1.0,-0.013210770871955902,0.020088843652047217,0.0129128722473979,0.15289513021707535
71,292771,70749,363520,171,1710,3080,689,1209.1153789999662,242.136528146838,-0.8746135809959183,-87.46135809959183,1.0,-0.011281551560387015,0.02927704807370901,0.01499414723366499,0.16768856924027203
72,297012,71628,368640,173,1730,3130,699,1226.5322257999796,242.15588775605158,-0.8712509281736354,-87.12509281736352,1.0,-0.012758488919353113,0.019086976051330567,0.017317403107881546,0.16746726825833322
73,301272,72488,373760,175,1750,3180,709,1243.991445599997,242.1817296779655,-0.9418490000652298,-94.18490000652297,1.0,-0.009391470105620102,0.029209556058049202,0.02538590133190155,0.195053354203701
74,305405,73475,378880,177,1774,3206,715,1261.731400699995,242.05230988985818,-0.9486938745711712,-94.8693874571171,1.0,-0.0021212742258622137,0.023549031362765364,0.04698462784290314,0.21086613999472725
75,309301,74699,384000,179,1802,3246,725,1279.6446763999993,241.7085036997542,-0.9460998598688432,-94.60998598688433,1.0,-0.01313475491188001,0.020120315696112813,0.014181505888700485,0.14074849300086498
76,313304,75816,389120,183,1830,3286,735,1296.0435814000084,241.73878447942596,-0.7695191604903145,-76.95191604903144,1.0,-0.01004679876496084,0.014201710536144673,0.015753312036395073,0.16744658797979356
77,317670,76570,394240,185,1850,3336,745,1309.7191052999697,242.54819122245522,-0.7364353636537204,-73.64353636537207,1.0,-0.011192540773190558,0.015261529255658388,0.013664377853274345,0.1665261860191822
78,321923,77437,399360,187,1870,3386,755,1325.2649485999718,242.9121817038049,-0.6155064666007785,-61.55064666007787,1.0,-0.011289857468800618,0.019273126032203436,0.011632276698946953,0.1412542301416397
79,326267,78213,404480,189,1890,3436,765,1342.3780871999916,243.05149429289793,-0.7073666691830589,-70.73666691830589,1.0,-0.004971033139154315,0.03296888887882233,0.023218607529997826,0.21010710708796979
80,330305,79295,409600,191,1923,3476,775,1359.7335308999754,242.91891940134693,-0.7392946323776357,-73.92946323776357,1.0,-0.010443187435157597,0.0184458764269948,0.012080907821655273,0.1805036261677742
81,334080,80640,414720,193,1945,3516,785,1377.4668137999834,242.5321587809305,-0.9097488984222322,-90.97488984222323,1.0,-0.011776443009148352,0.022118236776441334,0.012979140505194664,0.1577530110254884
82,337679,82161,419840,197,1970,3556,795,1393.3147665999713,242.35657878228,-0.9490196413184104,-94.90196413184101,1.0,-0.01188815713103395,0.012746322026941925,0.014163509011268616,0.15683802235871552
83,341814,83146,424960,199,1990,3587,802,1412.0878486000001,242.06284356804568,-0.7373379156424007,-73.73379156424006,1.0,-0.0068301425271783955,0.017098684096708894,0.03824131190776825,0.19786267541348934
84,346318,83762,430080,201,2010,3637,812,1432.2280438999878,241.8036718908035,-0.7422015323090945,-74.22015323090946,1.0,-0.011779360562795773,0.014103959761559964,0.01490863598883152,0.16875382974743844
85,350606,84594,435200,203,2030,3687,822,1447.6796965000103,242.1847877314604,-0.7137113004219011,-71.37113004219013,1.0,-0.012355376682244242,0.020014469139277936,0.013507647439837456,0.1544531248509884
86,354833,85487,440320,205,2054,3737,832,1463.6301247999654,242.43351785923036,-0.6807006766910582,-68.0700676691058,1.0,-0.0028622826654464005,0.04558232024312019,0.011749880388379097,0.20580957800149918
87,358755,86685,445440,208,2084,3777,842,1478.6166619000142,242.62880924052473,-0.6900076075615401,-69.00076075615401,1.0,-0.007953461221040925,0.017738572671078146,0.011234218254685402,0.16235437691211702
88,362829,87731,450560,210,2109,3817,852,1495.9686103999848,242.53784302532162,-0.7360613042753478,-73.60613042753477,1.0,-0.013160055445041507,0.017436554632149638,0.013833248056471348,0.14431444685906172
89,366742,88938,455680,213,2130,3857,862,1512.7706128999707,242.4306744675309,-0.6138396961966982,-61.38396961966981,1.0,-0.01489924400812015,0.011546353145968169,0.01269654929637909,0.1489365804940462
90,370776,90024,460800,215,2150,3897,872,1532.2655039000092,241.97895146518658,-0.667116760252669,-66.7116760252669,1.0,-0.012529165281739552,0.021313172508962454,0.014179815538227558,0.145666884817183
91,374842,91078,465920,217,2175,3937,882,1553.0909821999958,241.35224806277998,-0.6180074759668582,-61.800747596685845,1.0,-0.010929440573090688,0.01878214362077415,0.013819645158946514,0.16110299471765757
92,378848,92192,471040,219,2199,3977,892,1573.2444715999882,240.80682108783253,-0.6072772371787643,-60.727723717876444,1.0,-0.012018670488032512,0.018871589144691826,0.013674033805727959,0.13696404080837965
93,383114,93046,476160,222,2225,4027,902,1589.8831379999756,240.96991209174388,-0.6960649455112048,-69.60649455112049,1.0,-0.013520929015940056,0.01871166976168752,0.013795563951134682,0.17183249190449715
94,387147,94133,481280,224,2249,4067,912,1606.276998699992,241.02131843594202,-0.6640596394717605,-66.40596394717603,1.0,-0.011729278723942116,0.017208061390556396,0.013112198561429977,0.14122635796666144
95,391248,95152,486400,227,2270,4098,919,1621.5047684999881,241.28698700154507,-0.6678485342735401,-66.78485342735402,1.0,-0.014767490290978458,0.019447231708909385,0.0430590957403183,0.21071777399629354
96,395701,95819,491520,229,2294,4148,929,1638.5885344999842,241.4889349392087,-0.7723911504730586,-77.23911504730587,1.0,-0.01114910895936191,0.025834755748510362,0.015627730637788773,0.1448892691731453
97,399571,97069,496640,231,2319,4188,939,1659.9920156999724,240.7065794418969,-0.795054658280514,-79.50546582805141,1.0,-0.014222026777861174,0.020399736682884397,0.012778927572071552,0.1710063736885786
98,403577,98183,501760,234,2341,4228,949,1680.3808763999841,240.1699553166873,-0.8748745080703416,-87.48745080703415,1.0,-0.01181429805001244,0.03106084275059402,0.011013842187821865,0.13936628960072994
99,407946,98934,506880,236,2363,4278,959,1708.2216984999832,238.81326431939362,-0.9431385277351662,-94.31385277351663,1.0,-0.010077031214896124,0.017217301931232214,0.015814434736967087,0.17211796082556247
100,411969,100031,512000,238,2389,4318,969,1736.7649294000003,237.20481282537347,-0.7842742960912317,-78.42742960912318,1.0,-0.011088953173020855,0.024465770251117645,0.013791815377771854,0.15891600996255875
101,415929,101191,517120,241,2414,4358,979,1771.1786135999719,234.8317650214917,-0.8756637399990508,-87.56637399990508,1.0,-0.011060340277617797,0.025378346815705298,0.017020197585225105,0.1484108865261078
102,419919,102321,522240,243,2438,4398,989,1824.372843499994,230.1717006455766,-0.8955493166874865,-89.55493166874865,1.0,-0.011271309619769455,0.03245197362266481,0.015374565497040749,0.15153553253039717
103,423714,103646,527360,246,2460,4438,999,1854.2781405000133,228.5061721569688,-0.8419896606691332,-84.19896606691333,1.0,-0.011089278536383062,0.020086826686747373,0.014322357252240181,0.15096775013953448
104,428009,104471,532480,248,2480,4488,1009,1874.4104571999633,228.34326300087417,-0.9691031057588855,-96.91031057588854,1.0,-0.01430942571721971,0.02087400320917368,0.015046322718262672,0.17402795240283012
105,432050,105550,537600,250,2500,4528,1019,1894.274433500017,228.0820520824477,-1.0318618960302026,-103.18618960302027,1.0,-0.01409135929425247,0.017008124245330693,0.015164904296398163,0.1422001987695694
106,436049,106671,542720,252,2524,4568,1029,1913.0169766999898,227.93786218886424,-1.0673663911032423,-106.73663911032422,1.0,-0.007546930335229263,0.041934664361178875,0.011592250317335129,0.16208161637187005
107,439996,107844,547840,254,2542,4608,1039,1936.3349447000073,227.23134817368475,-1.104947402387413,-110.4947402387413,1.0,-0.010905639769043773,0.031203946471214293,0.011252149939537048,0.14332137256860733
108,443993,108967,552960,256,2565,4648,1049,1957.4882997999666,226.8177030970612,-1.2805945779813268,-128.05945779813266,1.0,-0.013267323526088148,0.013904257724061609,0.011832929216325283,0.14417929146438838
