time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss
1,92160,133,19,-1.1844719288074272,240.52,-0.03264475644682534,0.009881395846605301,0.7942477464675903,0.0003,-0.014742985367774963,120,0.07591437151034673,0.041208565,0.2,0.2771604935328166,2.4839046160380045
1,94720,161,15,-1.1781544525370693,241.86,-0.032003784382885155,0.009880991652607918,0.8154329657554626,0.0003,0.013821393251419067,123,0.15342995592138983,0.03653808,0.2,0.27733412655917083,2.4534044699235396
1,97280,133,19,-1.182164756330377,239.76,-0.03933023239540703,0.00985740963369608,0.8797638416290283,0.0003,-0.01873055286705494,128,0.07491712228340261,0.0460843,0.2,0.1978839756373097,2.4672126209034637
1,99840,148,17,-1.1303969779619114,245.39,-0.02456592721864581,0.009841961786150932,0.8497551083564758,0.0003,0.010019935667514801,131,0.055318910318116345,0.03674525,0.2,0.23844023793935776,2.4623317321141562
1,102400,222,11,-1.1741387346741818,248.51,-0.04944237061825238,0.009832174517214298,0.8792939782142639,0.0003,-0.03965848311781883,136,0.053551356259145234,0.04202914,0.2,0.33428396049298736,2.456748498113532
1,104960,196,13,-1.2344988610120418,246.36,-0.021556231348464888,0.009830731898546219,0.8671684265136719,0.0003,0.032243743538856506,139,0.047202404174539775,0.042447697,0.2,0.2773069888353348,2.5017929871877036
1,107520,220,11,-1.3187479210699378,238.37,-0.016796681630824293,0.009829428046941757,0.8451611995697021,0.0003,0.050570063292980194,141,0.12651994398662023,0.028194046,0.2,0.16026021327291215,2.4713594232286726
1,110080,171,14,-1.253156923154962,233.84,-0.032733651949092744,0.00982310064136982,0.8866916298866272,0.0003,0.00361054390668869,145,0.09770406931638717,0.04345509,0.2,0.23793535927931467,2.475594409306844
1,112640,193,13,-1.1981248796951753,228.26,-0.03272812620603612,0.009804360568523407,0.7975997924804688,0.0003,-0.012111576274037361,150,0.046749682476123176,0.04638481,0.2,0.2849812394096738,2.4818855694362094
1,115200,155,16,-1.2443847352662498,225.59,-0.02072192533788356,0.009800915606319904,0.7339706420898438,0.0003,0.01423161942511797,153,0.04157534461807121,0.043590102,0.2,0.23062023317272012,2.446696173061024
1,117760,300,8,-1.6180464596598854,232.38,-0.02850110859144479,0.009806010872125626,0.7944293022155762,0.0003,0.03091958910226822,155,0.16304953619837761,0.033758998,0.2,0.27626321613788607,2.485569214820862
1,120320,135,18,-1.2443343643470977,219.19,-0.022451109464534304,0.009817898273468018,0.9081395268440247,0.0003,-0.0049211326986551285,161,0.03492044945332137,0.05095337,0.2,0.25750114260749385,2.5126077261838047
1,122880,190,13,-0.9241234276134783,216.98,-0.03452659008326009,0.009817286394536495,0.8087360858917236,0.0003,-0.02647574618458748,165,0.053501187823712826,0.04849004,0.2,0.29968225955963135,2.4635903984308243
1,125440,176,14,-0.9492842567490453,218.33,-0.02705184929072857,0.009820576757192612,0.6506831645965576,0.0003,0.013933464884757996,168,0.05286201766946099,0.041446555,0.2,0.26025969602844934,2.478382110595703
1,128000,202,12,-0.9544736681375745,215.85,-0.0258981519844383,0.009821723215281963,0.8287482857704163,0.0003,-0.00010703876614570618,171,0.06980750560760499,0.039780892,0.2,0.2552127197384834,2.4898160219192507
1,130560,164,15,-0.9210882215541553,217.53,-0.05403327791330715,0.009831472299993038,0.8381645679473877,0.0003,-0.04728216677904129,177,0.026708616223186255,0.041165147,0.2,0.3404533634583155,2.476021075248718
1,133120,189,13,-0.8946891339727873,216.5,-0.04119265471429875,0.009839186444878578,0.7809213995933533,0.0003,-0.041449256241321564,182,0.01874213018232868,0.04705707,0.2,0.3444589518365406,2.4580776804969426
1,135680,234,10,-0.7503046260477171,222.1,-0.01814906785471572,0.009838555008172989,0.8564479351043701,0.0003,0.017274148762226105,184,0.06570914594663514,0.028316,0.2,0.17594659411244923,2.4947228696611194
1,138240,230,11,-0.5880463247074001,223.07,-0.01987907973428567,0.009838269092142582,0.8746650218963623,0.0003,0.004230957478284836,186,0.01520624803379178,0.03651152,0.2,0.1873599737882614,2.5038994948069253
1,140800,115,22,-0.5759409295161557,223.64,-0.01759261265397072,0.009838438592851162,0.9068056344985962,0.0003,0.020406192168593407,188,0.013218765519559384,0.06296559,0.2,0.21335589289665222,2.494239616394043
1,143360,202,12,-0.8713682983955043,235.92,-0.01635763043951657,0.00983199942857027,0.68147873878479,0.0003,0.01842329651117325,190,0.08150187755624454,0.03593265,0.2,0.22821180688010323,2.5057993994818792
1,145920,140,18,-0.9595393208896463,242.36,-0.030293293355498463,0.009809799492359161,0.5410914421081543,0.0003,-0.028776895254850388,196,0.04542703926563263,0.0510655,0.2,0.22725163539871573,2.502367988228798
1,148480,193,13,-1.1221916939324488,245.17,-0.039427607150917705,0.009796646423637867,0.8129696846008301,0.0003,-0.02447754144668579,199,0.10458781908858907,0.03884695,0.2,0.26354114575819537,2.5187753330577505
