time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates
302,128000,1,8,234.07,-1.1298185286231495,0.05171425640583038,0.2,0.02723661996424198,0.01371682,3.085334849357605,0.7962700128555298,0.16930672517046333,0.0003,0.058862243732437494,-0.011546634387923405,468
224,130560,1,11,239.15,-1.3093820520733574,0.05164092779159546,0.2,0.028258468955755234,0.009521049,3.087716293334961,0.8872640132904053,0.13520624935626985,0.0003,0.024349975027143957,-0.005871371063403785,478
185,133120,1,13,241.51,-1.5408502753913758,0.05172446742653847,0.2,0.03426830843091011,0.025508245,3.0879648764928183,0.9224010705947876,0.20567033290863038,0.0003,0.055840488026539487,-0.01600731418002397,488
195,135680,1,13,241.35,-1.5526392492945253,0.051846425980329514,0.2,0.0321355015039444,0.02430766,3.083670365810394,0.8276143074035645,0.20820904336869717,0.0003,0.06467513758689165,-0.007759902498219162,498
269,138240,1,9,245.5,-1.6649221822265787,0.05182308703660965,0.2,0.02553708292543888,0.021803752,3.081006270647049,0.8317097425460815,0.256983751244843,0.0003,0.04763855319470167,-0.010146126177278347,508
259,140800,1,9,254.77,-1.7774730038838322,0.051884617656469345,0.2,0.04144524782896042,0.016832821,3.081431682904561,0.823654055595398,0.14307196935017905,0.0003,0.05629047236094872,-0.007516999325404564,518
156,143360,1,16,260.09,-1.7797706687797181,0.05193961039185524,0.2,0.010114956647157669,0.016343705,3.0781492312749226,0.9096450209617615,0.2102922464410464,0.0003,0.013977823282281558,-0.010268435572894911,528
352,145920,1,7,271.46,-1.7403059905416298,0.05188244581222534,0.2,0.037161026149988174,0.03030392,3.0779564448765346,0.7686764001846313,0.19775703038488116,0.0003,0.02660318666270801,-0.006842618565341191,535
105,148480,1,24,273.67,-1.8555151405720796,0.05168943852186203,0.2,0.037564121186733246,0.02939527,3.082745540142059,0.7883337140083313,0.21909837871789933,0.0003,0.021369346231222153,-0.0063330447737826034,545
170,151040,1,15,271.7,-2.033123077648773,0.05188488960266113,0.2,0.04599788039922714,0.024316736,3.086027021408081,0.8263954520225525,0.20394531190395354,0.0003,0.10569638974964618,-0.016604241486638784,555
226,153600,1,11,273.33,-2.126828030925892,0.051897093653678894,0.2,0.03254089877009392,0.020375222,3.078894227743149,0.9105417728424072,0.22061546593904496,0.0003,0.05703698666766286,-0.012731036101467908,565
