rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_range,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance
206.67,115200,1,12,-0.6756244815057335,202,0.2,0.0003,0.052239783108234406,0.17254578683059663,3.065373253822327,0.016664596,0.012159734033048153,-0.013585749600315467,407,0.0219135370105505,0.9126524925231934
205.52,117760,1,12,-0.7470945619640635,209,0.2,0.0003,0.05231469124555588,0.18731063567101955,3.065085399150848,0.022229468,-0.0072837346233427525,-0.015089333947980777,417,0.017627942864783107,0.8297280669212341
195.33,120320,1,14,-0.5660532799313029,181,0.2,0.0003,0.05265291407704353,0.18151889145374298,3.0574056804180145,0.019922137,0.013035659678280354,-0.015126946265809238,427,0.026317408471368254,0.9048761129379272
191.65,122880,1,21,-0.5117494362159092,118,0.2,0.0003,0.05278991535305977,0.18107122724706476,3.04763709415089,0.03931146,0.050981588661670685,-0.004885094388472763,433,0.025272451849146324,0.8728184700012207
192.34,125440,1,13,-0.5197964376496145,187,0.2,0.0003,0.05282521992921829,0.22878629935754313,3.0439400801787504,0.051150702,0.06360791623592377,-0.004934610710856882,441,0.014629278080286207,0.8154594302177429
194.95,128000,1,18,-0.6448497951641374,141,0.2,0.0003,0.052797265350818634,0.18589635410656533,3.0444770018259684,0.01964586,0.004403519444167614,-0.020488428654304395,451,0.010564481948191921,0.7823578715324402
194.48,130560,1,15,-0.6513231686817629,161,0.2,0.0003,0.05293751507997513,0.21279242932796477,3.042184108495712,0.029076036,0.010174456983804703,-0.011247298777743709,461,0.0449316858779639,0.7692802548408508
197.51,133120,1,5,-0.6982024773712887,427,0.2,0.0003,0.05281869322061539,0.18918822230771185,3.041264218091965,0.02012442,0.0008096746169030666,-0.015437295168521815,471,0.022172687109559774,0.897685706615448
200.35,135680,1,8,-0.6967248427885394,288,0.2,0.0003,0.05262763798236847,0.18517071773530916,3.0468578815460203,0.026797578,0.011418451555073261,-0.011359512933995574,481,0.00562649283092469,0.8737466335296631
195.65,138240,1,5,-0.688105871350362,437,0.2,0.0003,0.05248958617448807,0.1950520820915699,3.054490661621094,0.023545997,0.00514993816614151,-0.018610057436550656,491,0.030546528287231922,0.921637773513794
197.85,140800,1,10,-0.6533082931534093,243,0.2,0.0003,0.05233161896467209,0.17855767757864668,3.059145438671112,0.018546198,-0.006096296478062868,-0.01922570392925991,501,0.022352467151358725,0.8711099624633789
199.85,143360,1,7,-0.6771642279189237,352,0.2,0.0003,0.05253008380532265,0.1897454595193267,3.0599873304367065,0.020026457,0.013853512704372406,-0.01283241719356738,511,0.020595758431591095,0.8041360378265381
202.76,145920,1,10,-0.5888797629821099,233,0.2,0.0003,0.05267743021249771,0.22729897618604203,3.051812219619751,0.029404482,0.00979574117809534,-0.017106488758387665,521,0.010333130151654284,0.8728717565536499
201.22,148480,1,15,-0.6266347484104925,164,0.2,0.0003,0.05275207757949829,0.24267578125,3.047928524017334,0.06169396,-0.02315029874444008,-0.009947612858377397,531,0.10224123519355999,0.8762910962104797
198.27,151040,1,12,-0.6180928975294305,209,0.2,0.0003,0.052758317440748215,0.28369140625,3.0463576912879944,0.024227265,0.08406844735145569,0.010776029666885734,532,0.03635843750089407,0.8529220819473267
