time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/std,train/loss
1,117760,226.71,181,-0.8678976473231083,14,173,0.25797999898592633,0.2,-0.037174787178325154,0.7542070150375366,0.025112020783126354,2.475189467271169,0.039915375,0.0003,0.009991495870053768,-0.044147051870822906
1,120320,213.7,135,-0.5189357029406433,18,175,0.19408183172345161,0.2,-0.02556355274282396,0.9023944735527039,0.018899460439570248,2.4602233171463013,0.028887382,0.0003,0.009990574792027473,-0.014113044366240501
1,122880,217.37,125,-0.594241714496638,20,177,0.16495670165334428,0.2,-0.010844276752322912,0.889445960521698,0.0445148694728102,2.477550370352609,0.05434349,0.0003,0.009990602731704712,0.037018608301877975
1,125440,206.33,134,-0.5771086367095074,19,179,0.2360772831099374,0.2,-0.021857836416789463,0.8883854150772095,0.02905939013830253,2.474089043481009,0.04039414,0.0003,0.009990076534450054,0.004512348212301731
1,128000,201.32,159,-0.6241659255055447,16,182,0.2504253476858139,0.2,-0.033447608910501005,0.7327148914337158,0.03900590650737286,2.469998288154602,0.037643522,0.0003,0.009991304017603397,-0.01736423559486866
1,130560,196.81,324,-0.6118217411331732,7,185,0.22673160379583185,0.2,-0.016065554693341255,0.7118235230445862,0.025100041688843208,2.474130001935092,0.048925523,0.0003,0.009982069954276085,-0.002183697186410427
1,133120,196.02,150,-0.5777614193860761,16,189,0.30417839331286295,0.2,-0.02879601121614022,0.701393723487854,0.01341817235308034,2.5540332112993513,0.06259233,0.0003,0.00997715163975954,-0.01593751832842827
1,135680,189.63,162,-0.45381659636921107,15,193,0.2575873391968863,0.2,-0.027990991682080284,0.8141311407089233,0.027672426908143928,2.455185736928667,0.045416795,0.0003,0.009970374405384064,-0.031287238001823425
1,138240,187.34,122,-0.648196663284159,20,196,0.2420928031206131,0.2,-0.0306240220554173,0.5469399690628052,0.016423286963254215,2.46236367225647,0.047197208,0.0003,0.009968429803848267,-0.022184012457728386
1,140800,187.71,117,-0.5157931759807588,21,198,0.2921875029802322,0.2,-0.022525929985567926,0.8575780391693115,0.14620596840977668,2.465069818496704,0.078118436,0.0003,0.009971685707569122,-0.03113870695233345
1,143360,190.47,227,-0.5071311165800156,11,201,0.30534244125539606,0.2,-0.027490571098910135,0.7712458968162537,0.019733333113518627,2.4807758764787153,0.044973526,0.0003,0.009971430525183678,-0.027213353663682938
1,145920,190.7,129,-0.6673231805676287,19,203,0.19110033909479776,0.2,-0.019772423120836418,0.8875229358673096,0.021754557887713116,2.5648351510365806,0.05296682,0.0003,0.009970629587769508,0.0021672481670975685
1,148480,192.3,227,-0.8349184838590079,11,205,0.197964017589887,0.2,-0.011085120922264954,0.8386322259902954,0.09637629364927609,2.4883336623509726,0.05408517,0.0003,0.009969190694391727,0.04186825454235077
1,151040,188.38,199,-0.7893082203076576,12,208,0.20114034414291382,0.2,-0.027146192422757547,0.8558595776557922,0.06644316059019831,2.504149595896403,0.03326491,0.0003,0.009968397207558155,0.003935273736715317
1,153600,189.38,168,-0.7282342041496009,15,210,0.18898809594767435,0.2,-0.006653562520763704,0.7563408613204956,0.04844523221254349,2.47665582384382,0.029385664,0.0003,0.009969836100935936,0.03884033113718033
1,156160,192.68,264,-0.7280919546302127,9,213,0.3049128218130632,0.2,-0.0320964011956345,0.8638511896133423,0.05266788330945102,2.4396189126101406,0.046779633,0.0003,0.009980464354157448,-0.012407282367348671
