time,agent,lat,lon,heading_deg,cas_mps,tas_mps
1710.0,AC2,50.40475024305369,5.459122602158053,147.14016372864694,156.16127713265985,158.65142769137466
1710.0,AC3,50.42667200741436,3.8699354756941644,195.6960150102132,121.18829474516093,123.17026500607139
1710.0,AC4,49.97701506214801,4.326872436833142,178.93545476893684,162.99999999999994,165.5846750214427
1710.0,AC5,50.16099498154857,3.145662497613808,214.6135685842343,128.0649704055076,130.1499681006073
1710.0,AC6,52.80708026878791,3.4529091611651106,340.2952564114884,121.37118204055521,123.35591083732872
1710.0,AC7,50.48728987439526,4.829455187189093,185.38732195388206,128.04979438747895,130.13456630632626
1710.0,AC8,53.18761603746501,2.391250882278702,324.62787971734474,162.99999999999994,165.5846750214427
1710.0,AC9,53.90491223951326,3.3067758367936952,350.6583986166836,162.99999999999994,165.5846750214427
1710.0,AC10,52.700100439567606,3.077876400866756,329.31581286552614,140.41913295507044,142.6855042814784
1720.0,AC1,51.01437704317848,4.8493665408577415,149.2526136854725,150.85746131199525,153.27316580508298
1720.0,AC2,50.392765229928536,5.4712671716327,147.14016372864694,156.16127713265985,158.65142769137466
1720.0,AC3,50.416008093245445,3.8652321587273284,195.6960150102132,121.18829474516093,123.17026500607139
1720.0,AC4,49.96212624481407,4.327302569796812,178.93545476893684,162.99999999999994,165.5846750214427
1720.0,AC5,50.151362018026674,3.13528530578323,214.6135685842343,128.0649704055076,130.1499681006073
1720.0,AC6,52.81752413958304,3.446719797119786,340.29032519675866,121.37118204055521,123.35591083732872
1720.0,AC7,50.47563828784229,4.827728428641627,185.38732195388206,128.04979438747895,130.13456630632626
1720.0,AC8,53.199758617462,2.376862057200317,324.62787971734474,162.99999999999994,165.5846750214427
1720.0,AC9,53.919606139285854,3.302672065994111,350.6583986166836,162.99999999999994,165.5846750214427
1720.0,AC10,52.71113534439063,3.067067470573018,329.307211539805,140.41913295507044,142.6855042814784
1730.0,AC1,51.002529912030965,4.860565001595913,149.26135148730003,150.85746131199525,153.27316580508298
1730.0,AC2,50.38078021680338,5.483408671562875,147.14016372864694,156.16127713265985,158.65142769137466
1730.0,AC3,50.40534417907653,3.8605299003800826,195.6960150102132,121.18829474516093,123.17026500607139
1730.0,AC4,49.94723742748013,4.327732569756323,178.93545476893684,162.99999999999994,165.5846750214427
