time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/value_loss,train/entropy_loss
1,87040,166,230.98,-0.8878007559347868,15,0.7893420457839966,330,0.2,0.009978122,0.010710937902331352,0.0003,-0.012753031385946087,0.13192894399166108,0.20912796258926392,0.016037404760718344,0.2945395320653915
1,89600,171,230.21,-0.9850042903584528,14,0.7867387533187866,340,0.2,0.013203676,-0.021482117474079132,0.0003,-0.010441622784128413,0.14455536724999546,0.21024110913276672,0.02380374469794333,0.2870465025305748
1,92160,259,231.43,-0.9717821636988834,9,0.8123339414596558,350,0.2,0.011041319,-0.006644067354500294,0.0003,-0.010501791833667085,0.16121882367879153,0.21065860986709595,0.036953750904649495,0.27941062673926353
1,94720,143,221.85,-0.9567493942378107,17,0.9220854640007019,360,0.2,0.016887574,0.0032478515058755875,0.0003,-0.011471355993611118,0.1621435282131036,0.21125996112823486,0.011414982564747333,0.27540771961212157
1,97280,125,221.91,-1.651143534549622,20,0.7486959099769592,370,0.2,0.011661333,-0.0076388027518987656,0.0003,-0.01472773751243949,0.11169046320021153,0.2109832763671875,0.07055813703686,0.27204029500484467
1,99840,194,220.49,-1.4593355404940729,13,0.8002437353134155,380,0.2,0.01160032,-0.012184140272438526,0.0003,-0.014586183396168052,0.11879816923290491,0.21119025349617004,0.06225830711424351,0.2740213215351105
1,102400,187,219.36,-1.3885966744176494,13,0.7757784128189087,390,0.2,0.011508354,-0.012826533056795597,0.0003,-0.015322762184465925,0.10211792526145776,0.21114946901798248,0.012208948067078987,0.27177242636680604
1,104960,189,221.83,-1.4587553585317437,13,0.7475644946098328,400,0.2,0.011580226,-0.04049215093255043,0.0003,-0.015202659836504609,0.13505408711731434,0.21158242225646973,0.0259883439168334,0.2712410652637482
1,107520,179,225.03,-1.3757454873319759,14,0.5573297739028931,410,0.2,0.008223783,-0.013376563787460327,0.0003,-0.007671987543290015,0.08370850619394332,0.21115894615650177,0.017979298578575255,0.27011587768793105
1,110080,157,235.09,-1.7143761518180833,16,0.7591443061828613,420,0.2,0.010935053,0.001058506779372692,0.0003,-0.007238637836417183,0.09695581896812655,0.2116917371749878,0.0755601063836366,0.2710681393742561
1,112640,151,243.53,-1.7407499346819655,16,0.7492572069168091,430,0.2,0.010862691,-0.006491051986813545,0.0003,-0.012439067295053974,0.11303265951573849,0.211442768573761,0.026132306619547307,0.2674706123769283
1,115200,142,245.94,-1.7884348828769396,18,0.8055648803710938,440,0.2,0.01146581,-0.02572447620332241,0.0003,-0.014645272162548887,0.11948493852590521,0.2105114609003067,0.014839665840069453,0.2737000932296117
1,117760,217,254.42,-1.9271409352312705,11,0.6548347473144531,450,0.2,0.010158794,0.007610458880662918,0.0003,-0.012756934098433703,0.10253877593204379,0.21070057153701782,0.059394422359764575,0.2787767954170704
1,120320,124,255.56,-2.0303271845872013,20,0.6548192501068115,460,0.2,0.0092809675,-0.014497210271656513,0.0003,-0.008671041730121943,0.10130345411598682,0.21085666120052338,0.023064799327403306,0.27584004402160645
1,122880,146,257.76,-2.394184932513188,17,0.8070727586746216,470,0.2,0.008966008,0.004901740700006485,0.0003,-0.009741480277152732,0.1114121917448938,0.21150222420692444,0.11185153529047966,0.27250838339328765
1,125440,302,261.4,-2.3552833462854705,8,0.7746254205703735,480,0.2,0.010672952,-0.023817818611860275,0.0003,-0.013004679631267209,0.12332031235098839,0.21046966314315796,0.0328938558883965,0.2735449236631393
1,128000,155,263.55,-2.3032292766262854,16,0.9436995983123779,490,0.2,0.016255792,-0.01114408578723669,0.0003,-0.010072583366854815,0.13491034312173725,0.21071842312812805,0.0021370568661950528,0.27844287157058717
1,130560,152,262.02,-2.169333540049338,16,0.8235605359077454,500,0.2,0.013298915,-0.013078397139906883,0.0003,-0.017532731511164457,0.15341796875,0.210107684135437,0.028863441571593283,0.27807003259658813
1,133120,153,267.36,-2.1732411001884113,16,0.7756102085113525,510,0.2,0.011808498,-0.011239996179938316,0.0003,-0.014351746893953531,0.13356411242857574,0.21107962727546692,0.015503064449876546,0.27915634140372275
1,135680,132,276.57,-2.1866542229966965,19,0.8148139119148254,520,0.2,0.010109504,-0.022026631981134415,0.0003,-0.012472871348290938,0.09896113965660333,0.21149423718452454,0.013228695862926543,0.27081476151943207
1,138240,179,283.95,-1.8355366920439116,14,0.8319175839424133,530,0.2,0.01309577,0.0009909318760037422,0.0003,-0.009637743156054058,0.12737522553652525,0.21172772347927094,0.02133324455935508,0.2685540705919266
1,140800,241,296.42,-1.5207832314191874,10,0.8124034404754639,540,0.2,0.008899249,0.013501092791557312,0.0003,-0.00652613477781415,0.1314421871304512,0.21263089776039124,0.014597747148945928,0.263745408654213
1,143360,151,300.82,-1.5596671621302738,16,0.9221431016921997,550,0.2,0.013769102,-0.029217295348644257,0.0003,-0.014299688069149852,0.13659545208017032,0.21236008405685425,0.0166975988385578,0.25871497790018716
1,145920,150,302.04,-1.6429677891852217,17,0.8768280148506165,560,0.2,0.014609724,-0.0023559993132948875,0.0003,-0.017576923817396162,0.12801986873149873,0.2126554250717163,0.038785936459898945,0.26075650095939634
1,148480,172,309.15,-1.6129290680569994,14,0.8535827398300171,570,0.2,0.010379699,-0.009093747474253178,0.0003,-0.011947737616719679,0.12007424188777804,0.21356980502605438,0.04076305138878524,0.254620236158371
