time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/loss,train/value_loss,train/std,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates
378,1,-110.18547141306053,198.17,209920,13,0.10111236814409494,3.099073737859726,202.38992309570312,401.838419342041,0.051424406468868256,0.8522149920463562,0.2,-0.00620835001609521,0.0003,0.0103079695,381
325,1,-124.13010058377034,200.7,215040,15,0.08917455584742129,3.0960718631744384,130.93191528320312,325.43481903076173,0.05149883031845093,0.892641007900238,0.2,-0.009528070231317543,0.0003,0.008223969,391
301,1,-120.28867353936226,199.58,220160,16,0.08661261443048715,3.0960812091827394,80.1843032836914,248.767236328125,0.05139642581343651,0.8285226225852966,0.2,-0.00492112007632386,0.0003,0.009993102,401
314,1,-95.82041792838281,199.8,225280,16,0.11175150040071458,3.0985184788703917,84.08138275146484,240.9192569732666,0.05145150050520897,0.8686714768409729,0.2,-0.006497353839222342,0.0003,0.009311483,411
322,1,-102.61158763082884,200.33,230400,15,0.12052305666729808,3.094424283504486,64.57623291015625,160.0482089996338,0.05156391113996506,0.9146539568901062,0.2,-0.005097115435455634,0.0003,0.011859661,421
405,1,-116.50986983144999,201.4,235520,12,0.09318525976268574,3.088307386636734,101.65947723388672,282.07794227600095,0.05181083828210831,0.7964944839477539,0.2,-0.006343002183712088,0.0003,0.010129429,431
287,1,-97.49380881524672,201.69,240640,17,0.10952783077955246,3.079548233747482,147.98390197753906,467.7318603515625,0.05195451155304909,0.7583647966384888,0.2,-0.005203684096341021,0.0003,0.009469673,441
380,1,-107.29558820933124,201.54,245760,13,0.12658761233091353,3.0744787311553954,651.029296875,735.1919319152832,0.05209873616695404,0.7793211936950684,0.2,-0.005622736806981265,0.0003,0.012543241,451
413,1,-107.5899458226793,204.76,250880,12,0.11623825747519731,3.0706524550914764,99.94693756103516,240.04310111999513,0.05213756114244461,0.870110273361206,0.2,-0.004715128979296423,0.0003,0.009069862,461
355,1,-118.87694436028241,203.71,256000,14,0.10943336393684149,3.0670642137527464,66.3781509399414,216.25927047729493,0.05234910175204277,0.8884846568107605,0.2,-0.010167387139517814,0.0003,0.009570028,471
249,1,-121.51964164858244,201.5,261120,20,0.10350693352520465,3.059190559387207,92.27555084228516,245.04132575988768,0.05249461159110069,0.886932909488678,0.2,-0.00700638210400939,0.0003,0.009218457,481
345,1,-120.75803616852104,200.77,266240,14,0.10638285353779793,3.0550581514835358,152.45582580566406,395.887451171875,0.05252953618764877,0.872829020023346,0.2,-0.007766124865156598,0.0003,0.008528486,491
371,1,-100.41512176662356,197.76,271360,13,0.13226083773188294,3.053871887922287,59.875694274902344,154.31086463928222,0.05262524262070656,0.9215393662452698,0.2,-0.01067183432460297,0.0003,0.0135224415,501
398,1,-109.19249966057882,196.27,276480,12,0.12274569769700368,3.0502538760503133,38.28577423095703,136.69944330851237,0.05267367511987686,0.9329068660736084,0.2,-0.0050900453662810225,0.0003,0.009352586,511
366,1,-100.89323076256431,196.49,281600,13,0.12742500777045887,3.0499886433283487,97.95762634277344,266.76420338948566,0.052633076906204224,0.8319588899612427,0.2,-0.00392514936599279,0.0003,0.008303714,521
356,1,-93.63671254164639,197.45,286720,14,0.08540671300143003,3.0515543043613436,54.64777755737305,205.55194282531738,0.052621327340602875,0.8095804452896118,0.2,-0.005675299024733249,0.0003,0.009397213,531
277,1,-86.07534088102139,194.82,291840,18,0.06925755552947521,3.050799149274826,97.61676788330078,341.8475902557373,0.05268355458974838,0.8251794576644897,0.2,-0.005351595583488233,0.0003,0.007946173,541
386,1,-71.22800536370782,191.45,296960,13,0.07509095560526476,3.0506174206733703,47.5829963684082,168.61271266937257,0.05252358689904213,0.8862411975860596,0.2,-0.004071362370450515,0.0003,0.010969577,551
347,1,-72.48051983393607,190.67,302080,14,0.13880702694877983,3.0548492312431335,44.175716400146484,172.32416191101075,0.05260646343231201,0.8505871295928955,0.2,-0.010445535945473238,0.0003,0.014640406,561
347,1,-85.00820948779094,192.92,307200,14,0.07542294268496334,3.0494683623313903,78.18560028076172,211.13846282958986,0.0527433343231678,0.8613348007202148,0.2,-0.00601018857996678,0.0003,0.009564883,571
346,1,-97.15761095600928,189.91,312320,14,0.09068540818989276,3.04675697684288,179.66265869140625,499.9163070678711,0.05271552503108978,0.8394743800163269,0.2,-0.006441841750347521,0.0003,0.008565407,581
353,1,-94.84217348053245,192.36,317440,14,0.07814240952720866,3.047306704521179,121.22184753417969,365.0251098632813,0.05279090628027916,0.8381999731063843,0.2,-0.005343798647118092,0.0003,0.00795788,591
383,1,-127.87700184206659,195.32,322560,13,0.08000427540391683,3.0438864052295687,314.2709045410156,720.3677047729492,0.05282791703939438,0.8358851075172424,0.2,-0.006764822677359917,0.0003,0.008052113,601
471,1,-153.5717447294601,196.9,327680,10,0.05823579786811024,3.0434756755828856,231.58572387695312,623.6483291625976,0.05283290147781372,0.8473808765411377,0.2,-0.0046471968926198315,0.0003,0.006750486,611
330,1,-162.3741503097439,199.85,332800,15,0.05493972525000572,3.042973836263021,69.32026672363281,283.4753158569336,0.052849940955638885,0.9016194343566895,0.2,-0.005199665329807128,0.0003,0.007989519,621
366,1,-141.68293518372715,201.53,337920,13,0.08208674383349716,3.0403956353664396,87.86083984375,233.47959671020507,0.05298700928688049,0.8721263408660889,0.2,-0.006941174135135952,0.0003,0.00956186,631
374,1,-122.86800476052241,195.22,343040,13,0.13431463465094567,3.036198192834854,82.13353729248047,289.44126052856444,0.05304025113582611,0.8871346116065979,0.2,-0.007637358685315121,0.0003,0.0134979,641
366,1,-125.04460308618225,194.96,348160,13,0.10190467306723197,3.036337931950887,33.73387908935547,100.65512886047364,0.052967898547649384,0.9130372405052185,0.2,-0.00195074530556667,0.0003,0.011761773,651
385,1,-111.43456169835484,198.7,353280,13,0.08600948518142104,3.0399264872074125,161.38027954101562,536.491062927246,0.05289032310247421,0.8183157444000244,0.2,-0.004301201627822593,0.0003,0.007037592,661
