case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,0.6270922422409058,-0.0003088891168074836,0.0,-0.0,-0.0,-0.0,-0.0003088891168074836,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,-0.24380002915859222,-1.8715765688913964e-10,0.0,-0.0,-0.0,-0.0,-1.8715765688913964e-10,0.0,0.0,0,
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,1.0255062580108643,-3.5985688601537177e-10,0.0,-0.0,-0.0,-0.0,-3.5985688601537177e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,0.22474807500839233,-0.00028164706097495,0.0,-0.0,-0.0,-0.0,-0.00028164706097495,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,0.16631820797920227,-2.5638300431003846e-10,0.0,-0.0,-0.0,-0.0,-2.5638300431003846e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,0.4991711378097534,-0.0009475251009997247,0.0,-0.0,-0.0,-0.0,-0.0009475251009997247,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,0.5950226783752441,-0.0009422945658131655,0.0,-0.0,-0.0,-0.0,-0.0009422945658131655,0.0,0.0,0,
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,-0.21904964745044708,-3.327018306077789e-10,0.0,-0.0,-0.0,-0.0,-3.327018306077789e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,0.9639001488685608,-0.00047863075390525454,0.0,-0.0,-0.0,-0.0,-0.00047863075390525454,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,0.31286102533340454,-2.789621394570709e-10,0.0,-0.0,-0.0,-0.0,-2.789621394570709e-10,0.0,0.0,0,
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,0.6339370012283325,-0.0003103391253402753,0.0,-0.0,-0.0,-0.0,-0.0003103391253402753,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,-0.23838408291339874,-1.8550367759772219e-10,0.0,-0.0,-0.0,-0.0,-1.8550367759772219e-10,0.0,0.0,0,
