case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
std020,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.05124421417713165,-0.41253232955932617,-0.3886806070804596,-7.214959780804905e-05,0.0,-0.0,-0.0,-0.0,-7.214959780804905e-05,0.0,0.0,0,
std020,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.013186274096369743,-0.01595146581530571,-0.14770622551441193,-2.1817421291009668e-05,0.0,-0.0,-0.0,-0.0,-2.1817421291009668e-05,0.0,0.0,0,
std020,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.12053708732128143,-0.09902578592300415,-0.5190092325210571,-0.0003542163585866731,0.0,-0.0,-0.0,-0.0,-0.0003542163585866731,0.0,0.0,0,
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.3043345808982849,-0.19774022698402405,-0.21428416669368744,-0.0005053688302901335,0.0,-0.0,-0.0,-0.0,-0.0005053688302901335,0.0,0.0,0,
std020,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.28862375020980835,-0.027427133172750473,-0.3839276134967804,-0.0004720658686578636,0.0,-0.0,-0.0,-0.0,-0.0004720658686578636,0.0,0.0,0,
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.3688456118106842,-0.2587819993495941,-0.27587804198265076,-0.0009722594378767591,0.0,-0.0,-0.0,-0.0,-0.0009722594378767591,0.0,0.0,0,
std020,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.3831261098384857,-0.25364363193511963,-0.1412537544965744,-0.0006284401540531099,0.0,-0.0,-0.0,-0.0,-0.0006284401540531099,0.0,0.0,0,
std020,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.1773686558008194,-0.17312955856323242,-0.381420761346817,-0.00047157733362466933,0.0,-0.0,-0.0,-0.0,-0.00047157733362466933,0.0,0.0,0,
std020,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.5696225762367249,-0.11805198341608047,-0.17733921110630035,-0.0010444203893100776,0.0,-0.0,-0.0,-0.0,-0.0010444203893100776,0.0,0.0,0,
std020,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.26128271222114563,-0.04314905032515526,-0.24530664086341858,-0.0004283075450638429,0.0,-0.0,-0.0,-0.0,-0.0004283075450638429,0.0,0.0,0,
std020,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.051375389099121094,-0.4112805724143982,-0.38963693380355835,-7.214353374420441e-05,0.0,-0.0,-0.0,-0.0,-7.214353374420441e-05,0.0,0.0,0,
std020,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.02081439085304737,-0.021038979291915894,-0.14334312081336975,-3.444981584931855e-05,0.0,-0.0,-0.0,-0.0,-3.444981584931855e-05,0.0,0.0,0,
std020,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.11717119067907333,-0.1077437773346901,-0.5333538055419922,-0.0003620236798013106,0.0,-0.0,-0.0,-0.0,-0.0003620236798013106,0.0,0.0,0,
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.30647197365760803,-0.19845013320446014,-0.20763851702213287,-0.0005090893566534918,0.0,-0.0,-0.0,-0.0,-0.0005090893566534918,0.0,0.0,0,
std020,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,103,515,0,-0.28339311480522156,-0.020645640790462494,-0.3892376720905304,-0.00046353216550867426,0.0,-0.0,-0.0,-0.0,-0.00046353216550867426,0.0,0.0,0,
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.37367382645606995,-0.2607114315032959,-0.2687433063983917,-0.0009804136621737417,0.0,-0.0,-0.0,-0.0,-0.0009804136621737417,0.0,0.0,0,
std020,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.38200798630714417,-0.25541311502456665,-0.13701650500297546,-0.00062661316169803,0.0,-0.0,-0.0,-0.0,-0.00062661316169803,0.0,0.0,0,
std020,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.17759542167186737,-0.1734267771244049,-0.3792116343975067,-0.0003840012237688121,0.0,-0.0,-0.0,-0.0,-0.0003840012237688121,0.0,0.0,0,
std020,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.5675674080848694,-0.11797507107257843,-0.17480838298797607,-0.0010387662001751178,0.0,-0.0,-0.0,-0.0,-0.0010387662001751178,0.0,0.0,0,
std020,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.262732595205307,-0.04477640986442566,-0.23991769552230835,-0.0004307111835659085,0.0,-0.0,-0.0,-0.0,-0.0004307111835659085,0.0,0.0,0,
std020,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.051758065819740295,-0.4109627902507782,-0.3897348642349243,-7.254425922455332e-05,0.0,-0.0,-0.0,-0.0,-7.254425922455332e-05,0.0,0.0,0,
std020,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.027293497696518898,-0.025173809379339218,-0.13737814128398895,-4.518853385008939e-05,0.0,-0.0,-0.0,-0.0,-4.518853385008939e-05,0.0,0.0,0,
std020,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.11449360847473145,-0.10562979429960251,-0.5346053242683411,-0.00036870662483800946,0.0,-0.0,-0.0,-0.0,-0.00036870662483800946,0.0,0.0,0,
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.3117901384830475,-0.20194825530052185,-0.2029724270105362,-0.0005180924601195725,0.0,-0.0,-0.0,-0.0,-0.0005180924601195725,0.0,0.0,0,
std020,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,104,520,0,-0.2813895642757416,-0.016478735953569412,-0.39019179344177246,-0.00046027462454133677,0.0,-0.0,-0.0,-0.0,-0.00046027462454133677,0.0,0.0,0,
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.37696442008018494,-0.26114970445632935,-0.2616654932498932,-0.000986032603413389,0.0,-0.0,-0.0,-0.0,-0.000986032603413389,0.0,0.0,0,
std020,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.383157342672348,-0.25442516803741455,-0.13286511600017548,-0.0006285009564990724,0.0,-0.0,-0.0,-0.0,-0.0006285009564990724,0.0,0.0,0,
std020,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.1863686740398407,-0.1613735556602478,-0.394902765750885,-0.0004774204943226521,0.0,-0.0,-0.0,-0.0,-0.0004774204943226521,0.0,0.0,0,
std020,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.6147636771202087,-0.20398078858852386,-0.162991002202034,-0.001113231343176573,0.0,-0.0,-0.0,-0.0,-0.001113231343176573,0.0,0.0,0,
std020,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.26647844910621643,-0.04782799631357193,-0.23590950667858124,-0.0004368772034938622,0.0,-0.0,-0.0,-0.0,-0.0004368772034938622,0.0,0.0,0,
std020,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.050886120647192,-0.41131722927093506,-0.38949891924858093,-7.08966565051677e-05,0.0,-0.0,-0.0,-0.0,-7.08966565051677e-05,0.0,0.0,0,
