case,episode,agent,decision,critic_value,discounted_realized_return,future_intrusion_delay_seconds,advantage_lambda_0.95,advantage_lambda_0.99,advantage_lambda_1.0
initial,0,KL001,121,-0.0008885301649570465,-0.5721522712286495,130,-0.13148323890263805,-0.39541242124534415,-0.5712637410636924
initial,0,KL001,122,-0.002505440264940262,-0.5741475948415943,125,-0.1371797528946128,-0.39916635677257223,-0.5716421545766539
initial,0,KL001,123,-0.004172835499048233,-0.5761497518608174,120,-0.1431497482988593,-0.4029260646841552,-0.5719769163617692
initial,0,KL001,124,-0.005891021341085434,-0.5781587624212616,115,-0.1494084881590458,-0.40669148998556287,-0.5722677410801762
initial,0,KL001,125,-0.007661227136850357,-0.5801746466667766,110,-0.15597112369459037,-0.410461644746952,-0.5725134195299264
initial,0,KL001,126,-0.0094870924949646,-0.5821974247543305,105,-0.16285112679262054,-0.414233097246845,-0.5727103322593661
initial,0,KL001,127,-0.011383086442947388,-0.5842271168588107,100,-0.17005134205331526,-0.41799144297545043,-0.5728440304158635
initial,0,KL001,128,-0.011713378131389618,-0.5862637431784232,95,-0.17931198536362813,-0.423389101676023,-0.5745503650470338
initial,0,KL001,129,-0.010616976767778397,-0.5883073239406731,90,-0.19059699517528655,-0.4303024751348857,-0.5776903471728949
initial,0,KL001,130,-0.007559366524219513,-0.5903578794088906,85,-0.20457776533711314,-0.4392870994966296,-0.5827985128846714
initial,0,KL001,131,-0.00932285189628601,-0.5924154298892353,80,-0.2142596148864674,-0.4435134691483125,-0.5830925779929497
initial,0,KL001,132,0.07168915867805481,-0.5944799957380561,75,-0.3116251448306664,-0.5314151447385422,-0.6661691544161112
initial,0,KL001,133,0.07289481163024902,-0.5965515973694258,70,-0.33016859033378376,-0.5396164172235984,-0.6694464089996752
initial,0,KL001,134,-0.05787733197212219,-0.5986302552625595,65,-0.2108277422738446,-0.41461417963748315,-0.5407529232904378
initial,0,KL001,135,-0.06007841229438782,-0.6007159899686803,60,-0.22058570171577613,-0.4182392662737357,-0.5406375776742929
initial,0,KL001,136,-0.06239283084869385,-0.6028088221166438,55,-0.23078182001496186,-0.4218068939894504,-0.5404159912679503
initial,0,KL001,137,-0.06482154130935669,-0.6049087724162521,50,-0.24144018393595626,-0.4253157126497256,-0.5400872311068956
initial,0,KL001,138,-0.06736552715301514,-0.6070158616574876,45,-0.25258620895838324,-0.42876432698313666,-0.5396503345044726
initial,0,KL001,139,-0.07002657651901245,-0.6091301107026769,40,-0.2642458985687032,-0.43215051337608756,-0.5391035341836647
initial,0,KL001,140,-0.07280802726745605,-0.6112515404661861,35,-0.2764450960510655,-0.4354704588172488,-0.5384435131987304
initial,0,KL001,141,-0.42891550064086914,-0.6133801718712532,30,0.08258076482487338,-0.08195032681877122,-0.18446467123038424
initial,0,KL001,142,-0.4306088387966156,-0.6155160257620325,25,0.08744622454757736,-0.0828622792596377,-0.1849071869654171
initial,0,KL001,143,-0.43235811591148376,-0.617659122718982,20,0.09263859666323457,-0.08373591698026867,-0.1853010068074986
initial,0,KL001,144,-0.1509043425321579,-0.61980948263331,15,-0.19999126505959927,-0.37069110116298964,-0.4689051401011524
initial,0,KL001,145,-0.15323059260845184,-0.6219671235293495,10,-0.20934783692569947,-0.37391754863859206,-0.46873653092089784
initial,0,KL001,146,-0.1547708958387375,-0.6241320568585965,5,-0.22006697917135223,-0.37798985392412854,-0.46936116101985925
initial,0,KL001,147,-0.13301338255405426,-0.6263042289446197,0,-0.2559191542317326,-0.40565595533631715,-0.4932908463905657
initial,0,KL001,148,-0.1999935358762741,-0.5905248766283872,0,-0.16034521490899795,-0.3056458562693238,-0.3905313407521133
initial,0,KL001,149,-0.26943790912628174,-0.5451313733104661,0,-0.04705349520118777,-0.19243491008322433,-0.2756934641841846
initial,0,KL001,150,-0.3319277763366699,-0.49958015732624894,0,0.06504072476247619,-0.08495162479797298,-0.16765238098957913
initial,0,KL001,151,-0.3951749801635742,-0.45387069070300196,0,0.1840133652409956,0.024540211715631866,-0.05869571053942784
initial,0,KL001,152,-0.45632821321487427,-0.4080024372774058,0,0.30724762850643556,0.13318518912576052,0.04832577593746834
initial,0,KL001,153,-0.5044097304344177,-0.3619748628940585,0,0.4234357065462535,0.22989051323230988,0.1424348675403591
initial,0,KL001,154,-0.4046363830566406,-0.31578743560954153,0,0.39035194434123627,0.1783949667644506,0.08884894744709898
initial,0,KL001,155,0.16720181703567505,-0.2694396258765618,0,-0.1411390006533912,-0.3502845206675963,-0.4366414429122369
initial,0,KL001,156,0.13301368057727814,-0.2229309066699765,0,-0.06253344644142797,-0.2720051421340446,-0.3559445872472547
initial,0,KL001,157,0.10284921526908875,-0.17626075349988723,0,0.016136016293479362,-0.1968448683187965,-0.27910996876897604
initial,0,KL001,158,0.11572901904582977,-0.12942776224108554,0,0.05381439587269146,-0.16424590234890446,-0.24515678128691537
initial,0,KL001,159,0.13355782628059387,-0.08243068178961727,0,0.08845283535526877,-0.13615569342797085,-0.2159885080702112
initial,0,KL001,160,0.48241668939590454,-0.0352689346516016,85,-0.2233448315277426,-0.4419930242927355,-0.5176856240475062
initial,0,KL001,161,0.5313752293586731,-0.03539250868081068,80,-0.2856796261025269,-0.49576760531902053,-0.5667677380394838
initial,0,KL001,162,0.5566952228546143,-0.03551651568426247,75,-0.32646185278628426,-0.5262250889872625,-0.5922117385388768
initial,0,KL001,163,0.5702003240585327,-0.03564095717899582,70,-0.3570108111129556,-0.5450741717450303,-0.6058412812375286
initial,0,KL001,164,0.5819270014762878,-0.035765834687364814,65,-0.3873584450038844,-0.5623361747982405,-0.6176928361636528
initial,0,KL001,165,0.5936750173568726,-0.03589114973705744,60,-0.41939446162896515,-0.5798136859009168,-0.6295661670939301
initial,0,KL001,166,0.6054399609565735,-0.03601690386111421,55,-0.45320922869659713,-0.597505113801767,-0.6414568648176878
initial,0,KL001,167,0.6172184944152832,-0.03614309859794692,50,-0.4888993490208324,-0.6154099448756898,-0.6533615930132303
initial,0,KL001,168,0.6290087699890137,-0.03626973549135745,45,-0.5265684469161176,-0.6335291754726566,-0.6652785054803712
initial,0,KL001,169,0.3968421220779419,-0.03639681609055662,40,-0.3095188129170118,-0.40543269292516343,-0.43323893816849857
initial,0,KL001,170,0.3982342779636383,-0.036524341950183115,35,-0.32695264054788264,-0.4109645940855828,-0.4347586199138214
