collection,live_transitions,padded_transitions,counted_transitions,replay_size,world_decisions,worlds_completed,aircraft_completed,optimizer_steps,actor_optimizer_steps,entropy_optimizer_steps,gradient_rounds,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,actor_loss,critic_loss,entropy_coefficient
106,86187,49493,135680,86187,13568,26,268,13068,13068,13068,13068,1017.1466295999999,84.73409584407084,-0.3664453042932101,-36.64453042932101,0.9,0.2959282398223877,0.0026010831352323294,0.00033182417973876
107,87264,49696,136960,87264,13696,27,270,13196,13196,13196,13196,1030.9548693999968,84.64386035713336,-0.5074175397369337,-50.74175397369338,0.89,0.2690671682357788,0.0020978543907403946,0.0003235655021853745
108,88502,49738,138240,88502,13824,27,271,13324,13324,13324,13324,1045.3371948999993,84.66359030539081,-0.5018354828559712,-50.18354828559712,0.89,0.27967530488967896,0.004044645465910435,0.00031603785464540124
109,89393,50127,139520,89393,13952,27,275,13452,13452,13452,13452,1057.7299440999996,84.51401087643656,-0.5842217941984174,-58.422179419841726,0.89,0.2791910767555237,0.003601549658924341,0.00030889298068359494
110,89952,50848,140800,89952,14080,27,277,13580,13580,13580,13580,1067.1735810999962,84.28994269824538,-0.5867204167051322,-58.67204167051322,0.89,0.3103789985179901,0.0026531056500971317,0.0003010711807291955
111,90441,51639,142080,90441,14208,28,280,13708,13708,13708,13708,1076.6692700999993,84.000725674654,-0.8619862842591541,-86.19862842591542,0.87,0.23535051941871643,0.0029640542343258858,0.0002928852045442909
112,91721,51639,143360,91721,14336,28,280,13836,13836,13836,13836,1091.9727738000001,83.99568395905732,-0.8619862842591541,-86.19862842591542,0.87,0.31159645318984985,0.003970716148614883,0.00028485877555795014
113,92927,51713,144640,92927,14464,28,281,13964,13964,13964,13964,1108.5915240000031,83.8243825504837,-0.8562178990255223,-85.62178990255222,0.87,0.31406715512275696,0.0025976034812629223,0.00027766943094320595
114,93657,52263,145920,93657,14592,28,285,14092,14092,14092,14092,1117.9298812999987,83.77716846703282,-0.9694942401398993,-96.94942401398995,0.87,0.26072371006011963,0.002522980095818639,0.0002714651927817613
115,94127,53073,147200,94127,14720,28,289,14220,14220,14220,14220,1126.0014630000005,83.59402993066978,-1.0178809096461734,-101.78809096461733,0.87,0.2780638337135315,0.003028019331395626,0.0002677611482795328
116,95173,53307,148480,95173,14848,29,290,14348,14348,14348,14348,1138.0917945999972,83.62506473693561,-1.0840821447297988,-108.40821447297985,0.87,0.37854501605033875,0.0031090087722986937,0.0002608674403745681
117,96332,53428,149760,96332,14976,29,293,14476,14476,14476,14476,1150.0712795,83.76176478546694,-1.0807670565351355,-108.07670565351356,0.87,0.32254543900489807,0.0024230564013123512,0.00025270733749493957
118,96882,54158,151040,96882,15104,29,298,14604,14604,14604,14604,1158.563060499997,83.62255219684717,-1.062352935905164,-106.23529359051639,0.87,0.24653734266757965,0.0023678827565163374,0.0002464607823640108
119,97080,55240,152320,97080,15232,29,299,14732,14732,14732,14732,1165.365678000002,83.30432398404635,-1.0422271910900498,-104.222719109005,0.87,0.2949315905570984,0.003658875823020935,0.00024007150204852223
120,98225,55375,153600,98225,15360,30,300,14860,14860,14860,14860,1179.6300657999964,83.26763012214867,-1.014705706241852,-101.4705706241852,0.87,0.3491114675998688,0.0024776458740234375,0.00023572803183924407
121,99505,55375,154880,99505,15488,30,300,14988,14988,14988,14988,1193.3172075999973,83.38520501193871,-1.014705706241852,-101.4705706241852,0.87,0.3650444746017456,0.003565513528883457,0.00023038029030431062
122,100441,55719,156160,100441,15616,30,307,15116,15116,15116,15116,1204.7270121999973,83.37241464900909,-1.1108095738271864,-111.08095738271862,0.87,0.39485663175582886,0.0052713388577103615,0.00022500084014609456
