time,agent,route_target_index,route_target_distance_km,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action
940.0,KL001,1,46.725468804009544,True,52.30270028282885,5.644448966361411,162.99999999999994,165.5846750214427,46.59847241529708,145.8807714607634,-0.17342889308929443,0.35536789894104004,AC8,5.876401486115412,False,5.000000000000002,0.35536789894104004,True,False,False,False,True,False,False,10.871922782676474,0.0,-45.0,0.0,0.35536789894104004
950.0,KL001,1,48.179684983919294,True,52.296117217054885,5.666286034919949,162.99999999999994,165.5846750214427,48.04172203856816,151.85433268612866,-0.0239715576171875,0.3428901433944702,AC8,5.899740084777134,False,-5.000000000000002,0.3428901433944702,True,False,False,False,True,False,False,10.284524494622346,0.0,-45.0,0.0,0.3428901433944702
960.0,KL001,1,49.591866290799786,True,52.290457455678116,5.6888013938034225,162.99999999999994,165.5846750214427,49.441989229752146,147.88376310439259,-0.17851638793945312,0.34710001945495605,AC8,5.867075556314184,False,5.000000000000002,0.34710001945495605,True,False,False,False,True,False,False,10.854225477534568,0.0,-45.0,0.0,0.34710001945495605
970.0,KL001,1,51.07246323115927,True,52.28387438990415,5.710632427495666,162.99999999999994,165.5846750214427,50.911725713035885,153.7453924553688,-0.038134634494781494,0.3837393522262573,AC8,5.88990990115109,False,0.0,0.3837393522262573,True,False,False,False,True,False,False,10.900774425659048,0.0,-45.0,0.0,0.3837393522262573
980.0,KL001,1,52.57090817536868,True,52.27716209171019,5.732359762250467,162.99999999999994,165.5846750214427,52.39955156449141,154.54303406013133,-0.0417017936706543,0.3811908960342407,AC8,5.920307291864235,False,-5.000000000000002,0.3811908960342407,True,False,False,False,True,False,False,10.3110375578847,0.0,-45.0,0.0,0.3811908960342407
990.0,KL001,1,54.021306251746,True,52.27150233033342,5.754865491394718,162.99999999999994,165.5846750214427,53.83822697633974,150.41781076567486,-0.2355397343635559,0.3935812711715698,AC8,5.886931633241888,False,5.000000000000002,0.3935812711715698,True,False,False,False,True,False,False,10.890301985916704,0.0,-45.0,0.0,0.3935812711715698
1000.0,KL001,1,55.53270446561767,True,52.26491926455945,5.776687190064284,162.99999999999994,165.5846750214427,55.33906623597799,156.14272144060948,-0.04824841022491455,0.3762640953063965,AC8,5.909022646536341,False,-5.000000000000002,0.3762640953063965,True,False,False,False,True,False,False,10.28332536320563,0.0,-45.0,0.0,0.3762640953063965
1010.0,KL001,1,57.00438904303097,True,52.25925950318268,5.7991867051919925,162.99999999999994,165.5846750214427,56.79922260577836,151.9312153739113,-0.24120944738388062,0.3873041868209839,AC8,5.87521233284505,False,5.000000000000002,0.3873041868209839,True,False,False,False,True,False,False,10.868182318901695,0.0,-45.0,0.0,0.3873041868209839
1020.0,KL001,1,58.53282720816889,True,52.25267643740872,5.821002380023296,162.99999999999994,165.5846750214427,58.3173550420239,157.5800472787219,-0.03704196214675903,0.2121354341506958,AC8,5.896801375994527,False,0.0,0.2121354341506958,True,False,False,False,True,False,False,10.91352159411271,0.0,-45.0,0.0,0.2121354341506958
1030.0,KL001,1,60.07437499866142,True,52.245964139214756,5.842714432574881,162.99999999999994,165.5846750214427,59.84890616436764,158.18193996566907,-0.03760349750518799,0.20742785930633545,AC8,5.925938040123902,False,-5.000000000000002,0.20742785930633545,True,False,False,False,True,False,False,10.30327481202405,0.0,-45.0,0.0,0.20742785930633545
