time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/std,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
17,317440,286,1,0.603118360042572,-0.0009463346982374788,0.00259765625,0.6496811509132385,0.0003,0.2,429.00456970214844,-1.9738971900939941,154.833984375,610,0.0032783821,-458.5406175666475,591.11
18,322560,269,1,0.12934952974319458,-0.0016872837021946908,0.009296875,0.6499391794204712,0.0003,0.2,621.706275024414,-1.9738282132148743,275.3829345703125,620,0.003273338,-458.5406175666475,591.11
18,327680,275,1,0.7853988409042358,-0.0012610999634489416,0.00431640625,0.650579035282135,0.0003,0.2,425.69450622558594,-1.9749641060829162,171.75054931640625,630,0.0030736215,-506.6557510915799,591.11
17,332800,285,1,0.8345921039581299,-0.001440102579072118,0.00390625,0.6510372161865234,0.0003,0.2,474.60734497070314,-1.9768917632102967,232.44325256347656,640,0.0025393497,-506.6557510915799,591.11
18,337920,276,1,0.8879396915435791,-0.00412845044862479,0.01890625,0.6505786180496216,0.0003,0.2,59.10181381225586,-1.9771838450431825,22.05944061279297,650,0.0038021668,-512.3095989755805,600.0
18,343040,279,1,0.8169267177581787,-0.0010318640898913144,0.007421875,0.6503313183784485,0.0003,0.2,321.8289733886719,-1.9757095503807067,107.0933837890625,660,0.0042086057,-512.3095989755805,600.0
19,348160,261,1,0.6394385695457458,-0.002648615732323378,0.00912109375,0.6501868367195129,0.0003,0.2,350.10422454833986,-1.9750032258033752,123.6670150756836,670,0.0030261807,-498.0125503373921,600.0
17,353280,296,1,0.7527434825897217,-0.0004887643852271139,0.00046875,0.6510903239250183,0.0003,0.2,703.3161511230469,-1.976206271648407,267.47930908203125,680,0.0016718429,-482.9556218295482,592.29
16,358400,301,1,0.48864585161209106,-0.0020046763442223892,0.01590785477310419,0.6505717635154724,0.0003,0.2,478.59581115722654,-1.9779243850708008,179.17269897460938,690,0.0029013834,-482.9556218295482,592.29
16,363520,316,1,0.42276084423065186,-0.0013265184964984654,0.00619140625,0.6501883268356323,0.0003,0.2,346.4706021118164,-1.9752432680130005,107.08421325683594,700,0.0018796154,-505.6966895775549,592.29
17,368640,298,1,0.8805989623069763,-0.0037341094558360054,0.020911458432674408,0.6502696871757507,0.0003,0.2,239.35263610839843,-1.9754911518096925,94.8720703125,710,0.0034882396,-505.6966895775549,592.29
18,373760,280,1,0.8921960592269897,-0.004044110216200352,0.0280859375,0.6488858461380005,0.0003,0.2,73.60120223999023,-1.974116439819336,18.96738052368164,720,0.0052878386,-480.8131667178729,592.29
18,378880,282,1,0.9340219497680664,-0.004386043939739466,0.0366015625,0.6481609344482422,0.0003,0.2,124.45146530151368,-1.969701898097992,39.687808990478516,730,0.004948186,-480.8131667178729,592.29
19,384000,260,1,0.8327915072441101,-0.003926725841592997,0.026484375,0.6469985246658325,0.0003,0.2,56.415775833129885,-1.967334508895874,16.61737823486328,740,0.0051190513,-444.49788466331404,592.29
19,389120,261,1,0.9210752248764038,-0.0027311020996421574,0.0282421875,0.6452255249023438,0.0003,0.2,33.15689666748047,-1.9632601165771484,11.7169189453125,750,0.0036534693,-440.72977429413555,587.71
17,394240,294,1,0.4509841799736023,-0.0030491966143017636,0.030106584969908,0.6450245976448059,0.0003,0.2,447.4429571533203,-1.9586484384536744,163.58279418945312,760,0.0040538074,-440.72977429413555,587.71
17,399360,300,1,0.477840781211853,-0.0019474241515854375,0.01966796875,0.6461254954338074,0.0003,0.2,329.4305923461914,-1.9604739499092103,86.9637680053711,770,0.0044581126,-465.2177113453152,587.71
17,404480,300,1,0.7755703330039978,-0.003036596889796783,0.028179587519261987,0.6455610990524292,0.0003,0.2,417.2683123779297,-1.9623229503631592,165.25335693359375,780,0.004165336,-457.4796769893816,585.41
16,409600,303,1,0.7132734060287476,-0.002339834008744219,0.01582824577577412,0.6476410627365112,0.0003,0.2,450.4499920654297,-1.962605972290039,171.55738830566406,790,0.003145211,-459.9769182245714,585.41
12,414720,398,1,0.7083568572998047,-0.0008323298911273014,0.004121830817312002,0.648352861404419,0.0003,0.2,736.8354913330078,-1.9691340613365174,216.59671020507812,800,0.003187693,-460.2915496304457,584.78
15,419840,329,1,0.8037480711936951,-0.003923723821717431,0.03347935931524262,0.6469613313674927,0.0003,0.2,197.75091217041015,-1.9681630110740662,70.11388397216797,810,0.0055395924,-460.2915496304457,584.78
16,424960,304,1,0.7604748606681824,-0.0015003963629715144,0.02443359377561137,0.6487282514572144,0.0003,0.2,160.26160293579102,-1.966742103099823,63.800662994384766,820,0.0048611397,-447.0875053635692,588.62
