time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl
76800,-0.6271012754227901,1,69,189.32,36,-0.011521133953647223,0.04988151788711548,3e-05,0.030355507507920265,0.06955232322216034,0.8327223062515259,0.2,0.04436167003586888,290,3.158501136302948,0.008850476
79360,-0.5745484897336994,1,104,190.79,24,-0.015097639797022566,0.04988550394773483,3e-05,0.016925254836678505,0.08872070331126451,0.7764297127723694,0.2,0.03169979536905885,300,3.15828852057457,0.009532647
81920,-0.5360265469670189,1,79,189.21,32,-0.014478697814047337,0.04985732585191727,3e-05,0.009756061248481274,0.09960937462747096,0.6886069774627686,0.2,0.021539393998682498,310,3.1585856854915617,0.011046393
84480,-0.5304235985877326,1,231,189.05,11,-0.012633797535090707,0.04984910786151886,3e-05,0.02316696010529995,0.07741005851421505,0.6354629993438721,0.2,0.06381396297365427,320,3.1595429480075836,0.008802407
87040,-1.667767561180359,1,174,196.75,14,-0.009655957782524639,0.04985298961400986,3e-05,0.14117053151130676,0.0741707219509408,0.5494213104248047,0.2,0.6739541754126549,330,3.1596025109291075,0.010488996
89600,-1.6905013283128005,1,195,198.99,13,-0.010644200991373509,0.0498773455619812,3e-05,0.04443497955799103,0.06045536738820374,0.7254365682601929,0.2,0.21643753042444586,340,3.158983165025711,0.0069360263
92160,-1.6996574232299606,1,93,202.33,27,-0.012973003304796293,0.04987707734107971,3e-05,0.07440809905529022,0.0926538672298193,0.7278431057929993,0.2,0.1242470920085907,350,3.1584774374961855,0.0151881445
94720,-1.6526906845810396,1,156,205.03,16,-0.014556291556499446,0.04988458752632141,3e-05,0.03134488686919212,0.1083890089392662,0.6992032527923584,0.2,0.04629313051700592,360,3.1583637857437132,0.011717954
97280,-1.6201775103742262,1,81,211.3,31,-0.012615338954492471,0.04989202320575714,3e-05,0.015916120260953903,0.10853949673473835,0.9271438717842102,0.2,0.03820547023788094,370,3.158119773864746,0.01255505
99840,-1.5746838758404074,1,108,211.3,23,-0.011655799618165475,0.04989829659461975,3e-05,0.03999670222401619,0.07469673259183765,0.7955727577209473,0.2,0.050552958808839324,380,3.157732516527176,0.008411646
102400,-1.54038362504233,1,129,213.76,19,-0.013664094044361263,0.049911633133888245,3e-05,0.027472693473100662,0.1212298021884635,0.6606941223144531,0.2,0.053576968144625425,390,3.1574066042900086,0.012889862
104960,-1.395114198589593,1,144,212.32,17,-0.011386600055266172,0.049914415925741196,3e-05,0.021682197228074074,0.13185078004995981,0.6550953388214111,0.2,0.04981103241443634,400,3.1570608615875244,0.010980215
107520,-1.416878695852458,1,94,214.31,27,-0.011102579211971412,0.049912817776203156,3e-05,0.05195751041173935,0.06856728829443455,0.45093226432800293,0.2,0.05250856429338455,410,3.157026020685832,0.00893969
110080,-1.562240998066169,1,219,220.28,11,-0.013811263018287718,0.04994849115610123,3e-05,0.06158103793859482,0.09101619477383792,0.6832454204559326,0.2,0.19280810236930848,420,3.156520094871521,0.008263409
112640,-2.648880490127279,1,121,231.91,20,-0.011020631441351725,0.049935705959796906,3e-05,0.2033754587173462,0.07747402198147028,0.7451623678207397,0.2,0.7558730378746986,430,3.1557679295539858,0.007485332
115200,-2.584891144012838,1,156,234.37,16,-0.007927277961607615,0.0499303862452507,3e-05,0.06229190528392792,0.08409524565795437,0.8367157578468323,0.2,0.13141093254089356,440,3.1564373135566712,0.0086456295
117760,-2.5701749681456154,1,187,236.44,13,-0.016437250915623737,0.04990488290786743,3e-05,0.04680074006319046,0.08975151909980923,0.616560697555542,0.2,0.12144116442650557,450,3.1567558705806733,0.00883402
120320,-2.5754957990476477,1,147,238.02,17,-0.013697944657178596,0.049907345324754715,3e-05,0.04963887855410576,0.07869708550473055,0.8141633868217468,0.2,0.09226909751693407,460,3.157467261950175,0.011478382
122880,-1.3843193034527506,1,170,222.0,14,-0.018534377246396616,0.049892257899045944,3e-05,0.028824567794799805,0.10366872868034989,0.8477178812026978,0.2,0.05751111637800932,470,3.1574802935123443,0.01074704
125440,-1.3981566860258057,1,155,222.55,16,-0.017387611759477294,0.049870509654283524,3e-05,0.02416340820491314,0.10648871457669884,0.751488447189331,0.2,0.06760770212858916,480,3.1582727491855622,0.010063797
128000,-1.3316780707182696,1,151,208.88,16,-0.015661283818189986,0.04986616596579552,3e-05,0.030952828004956245,0.12019633082672954,0.5776029825210571,0.2,0.053357794601470235,490,3.1589535236358643,0.010010469
130560,-1.3744115093869615,1,130,207.37,19,-0.016087660805533234,0.04986466467380524,3e-05,0.029065929353237152,0.09172570612281561,0.864309549331665,0.2,0.04691305570304394,500,3.158955067396164,0.010434996
